	airplane-b	airplane-s	apartment-b	apartment-s	apple-b	apple-s	banana-b	banana-s	bar-b	bar-s	beach-b	beach-s	canary-b	canary-s	car-b	car-s	carrot-b	carrot-s	cat-b	cat-s	cathedral-b	cathedral-s	cheerfulness-b	cheerfulness-s	cherry-b	cherry-s	comb-b	comb-s	crow-b	crow-s	democracy-b	democracy-s	dog-b	dog-s	eggplant-b	eggplant-s	freedom-b	freedom-s	friendship-b	friendship-s	giraffe-b	giraffe-s	hammer-b	hammer-s	horse-b	horse-s	jealousy-b	jealousy-s	justice-b	justice-s	kiwi-b	kiwi-s	knife-b	knife-s	lawn-b	lawn-s	lettuce-b	lettuce-s	motorcycle-b	motorcycle-s	mountain-b	mountain-s	pain-b	pain-s	passion-b	passion-s	pencil-b	pencil-s	penguin-b	penguin-s	pineapple-b	pineapple-s	potato-b	potato-s	religion-b	religion-s	restaurant-b	restaurant-s	screwdriver-b	screwdriver-s	sea-b	sea-s	seagull-b	seagull-s	ship-b	ship-s	shop-b	shop-s	swan-b	swan-s	to_believe-b	to_believe-s	to_catch_sight_of-b	to_catch_sight_of-s	to_doubt-b	to_doubt-s	to_eavesdrop-b	to_eavesdrop-s	to_fear-b	to_fear-s	to_feel-b	to_feel-s	to_glimpse-b	to_glimpse-s	to_grab-b	to_grab-s	to_hate-b	to_hate-s	to_hear-b	to_hear-s	to_listen-b	to_listen-s	to_massage-b	to_massage-s	to_peep-b	to_peep-s	to_peer_at-b	to_peer_at-s	to_shout-b	to_shout-s	to_sing-b	to_sing-s	to_spot-b	to_spot-s	to_stroke-b	to_stroke-s	to_think-b	to_think-s	to_touch_lightly-b	to_touch_lightly-s	tomato-b	tomato-s	train-b	train-s	woods-b	woods-s	worry-b	worry-s	zebra-b	zebra-s
to_catch_sight_of-b	0.05398	0.05153	0.03090	0.03312	0.00000	0.00000	0.00000	0.00000	0.13230	0.04950	0.01725	0.01329	0.00585	0.00441	0.03993	0.00866	0.01153	0.00689	0.00000	0.00731	0.00000	0.00000	0.30444	0.16147	0.00000	0.00000	0.04367	0.03980	0.00833	0.00000	0.00908	0.02323	0.01673	0.00000	0.00000	0.00000	0.03501	0.07056	0.13823	0.06507	0.01023	0.00000	0.09929	0.06450	0.01001	0.00901	0.24005	0.22184	0.27213	0.16737	0.00000	0.00000	0.03480	0.08556	0.01659	0.00614	0.00000	0.00728	0.02297	0.02580	0.01218	0.00000	0.22829	0.17897	0.37086	0.30753	0.01747	0.04014	0.00776	0.00000	0.00606	0.00000	0.00000	0.00000	0.28998	0.09138	0.02331	0.01467	0.02709	0.06483	0.00977	0.00000	0.00915	0.00409	0.06709	0.03770	0.09740	0.10052	0.00000	0.00000	0.51548	0.53256	1.00000	0.84286	0.48876	0.40468	0.27981	0.25458	0.50366	0.47271	0.36305	0.31606	0.84557	0.72318	0.36668	0.33084	0.25933	0.19977	0.19971	0.16501	0.17812	0.19305	0.11322	0.13608	0.63000	0.61781	0.65315	0.68749	0.19927	0.27428	0.17144	0.12962	0.87381	0.75931	0.19245	0.14588	0.32341	0.27406	0.28968	0.30138	0.00588	0.00000	0.03173	0.02295	0.00000	0.00569	0.36206	0.39426	0.00000	0.00000
to_catch_sight_of-s	0.13690	0.12227	0.06966	0.07898	0.00000	0.00000	0.00000	0.00000	0.14026	0.08560	0.03240	0.02497	0.01647	0.01241	0.09611	0.01220	0.01218	0.00728	0.00000	0.03091	0.00000	0.00000	0.31414	0.19270	0.00000	0.00000	0.06357	0.06659	0.00000	0.00000	0.02558	0.07365	0.04714	0.00000	0.00000	0.00000	0.08014	0.17206	0.22471	0.19542	0.00000	0.00000	0.09992	0.06780	0.03526	0.03014	0.25863	0.27889	0.34689	0.29265	0.00000	0.00000	0.05312	0.08610	0.02805	0.00000	0.00000	0.02053	0.06472	0.06462	0.04005	0.00542	0.23441	0.19452	0.34641	0.34368	0.02462	0.05655	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.21999	0.13167	0.05336	0.04133	0.03053	0.07211	0.02753	0.00000	0.00000	0.00432	0.08458	0.08676	0.13458	0.15450	0.00000	0.00000	0.47578	0.56921	0.84286	1.00000	0.53126	0.50536	0.30258	0.30956	0.48187	0.47029	0.41647	0.38169	0.89350	0.87172	0.34597	0.38190	0.31469	0.31913	0.23447	0.23122	0.27959	0.28115	0.21315	0.25304	0.46887	0.56485	0.58344	0.70033	0.26423	0.32778	0.23995	0.23198	0.86151	0.88003	0.32858	0.29762	0.36627	0.35060	0.32589	0.41970	0.00000	0.00331	0.07599	0.06468	0.00000	0.01604	0.31310	0.37440	0.00000	0.00000
to_doubt-b	0.17220	0.15953	0.12346	0.13534	0.00000	0.00000	0.00000	0.00000	0.18171	0.13730	0.05553	0.04279	0.02823	0.02127	0.11248	0.00000	0.00000	0.00000	0.00000	0.03531	0.00000	0.00000	0.41412	0.28688	0.00000	0.00000	0.01789	0.04041	0.01463	0.00000	0.04384	0.14449	0.08079	0.00000	0.00000	0.00000	0.15111	0.30023	0.35662	0.36384	0.00000	0.00000	0.08593	0.03596	0.07031	0.05832	0.40028	0.45248	0.49208	0.46708	0.00000	0.00000	0.04583	0.06439	0.04807	0.00000	0.00000	0.03518	0.11667	0.09690	0.07666	0.01687	0.32953	0.25591	0.39757	0.47501	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.19585	0.20969	0.10104	0.07082	0.00951	0.06591	0.04718	0.00000	0.00000	0.01346	0.10541	0.13792	0.16938	0.18683	0.00000	0.00000	0.61146	0.74706	0.48876	0.53126	1.00000	0.81649	0.42719	0.36873	0.60264	0.61709	0.36056	0.35282	0.45770	0.48601	0.30446	0.34512	0.49526	0.46957	0.26921	0.28188	0.43686	0.43027	0.26395	0.35010	0.40245	0.49482	0.45128	0.47339	0.32246	0.40853	0.35849	0.27836	0.41710	0.48410	0.42671	0.39874	0.49801	0.39463	0.40048	0.44662	0.00000	0.01031	0.09192	0.11084	0.00000	0.02749	0.44285	0.55355	0.00000	0.00000
to_doubt-s	0.17082	0.16943	0.10908	0.12508	0.00000	0.00000	0.00000	0.00000	0.15518	0.13967	0.05132	0.03955	0.02609	0.01966	0.10395	0.00000	0.00702	0.00000	0.00000	0.03263	0.00000	0.00000	0.44708	0.34681	0.00000	0.00000	0.02598	0.03331	0.00000	0.00000	0.07366	0.16809	0.07466	0.00000	0.00000	0.00000	0.28404	0.42279	0.42620	0.43768	0.00000	0.00000	0.09783	0.03738	0.08122	0.06486	0.43375	0.52339	0.55465	0.53351	0.00000	0.00000	0.03765	0.07141	0.04443	0.00000	0.00000	0.03251	0.10782	0.08955	0.08402	0.02807	0.32651	0.30150	0.43392	0.55913	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.20211	0.25446	0.10283	0.06545	0.00000	0.06183	0.04360	0.00000	0.00000	0.02240	0.08882	0.13970	0.17781	0.20762	0.00000	0.00000	0.57703	0.71854	0.40468	0.50536	0.81649	1.00000	0.42082	0.41708	0.53032	0.56019	0.36702	0.41399	0.42298	0.52594	0.28406	0.38008	0.48381	0.56797	0.31263	0.31581	0.48699	0.46692	0.31996	0.39288	0.37362	0.52129	0.39338	0.48627	0.32971	0.39742	0.39353	0.36526	0.35605	0.52152	0.47904	0.46117	0.54905	0.48745	0.38063	0.51876	0.00477	0.01715	0.08495	0.10243	0.00000	0.02540	0.40116	0.53130	0.00000	0.00000
to_eavesdrop-b	0.06875	0.07483	0.08309	0.12169	0.00000	0.00000	0.00000	0.00000	0.12420	0.09075	0.03662	0.04702	0.01241	0.00935	0.10595	0.01225	0.00000	0.00000	0.00903	0.02242	0.01313	0.02614	0.19569	0.12500	0.00000	0.00000	0.01854	0.01584	0.00000	0.00000	0.01927	0.05753	0.04735	0.00676	0.00000	0.00000	0.10114	0.14978	0.16852	0.15751	0.00000	0.00000	0.04215	0.01304	0.02125	0.01912	0.19697	0.22458	0.25444	0.22204	0.00000	0.00000	0.02462	0.02076	0.03522	0.01303	0.00000	0.01546	0.04875	0.04260	0.05746	0.02176	0.14784	0.11337	0.16527	0.24714	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.10785	0.08817	0.08246	0.07057	0.00000	0.02414	0.02765	0.00975	0.00432	0.00434	0.04497	0.05691	0.09012	0.09976	0.00000	0.00000	0.28136	0.43023	0.27981	0.30258	0.42719	0.42082	1.00000	0.82492	0.31493	0.32273	0.23863	0.24706	0.26429	0.31712	0.19488	0.23293	0.22769	0.27157	0.58662	0.58631	0.45069	0.49385	0.19475	0.24631	0.33024	0.38946	0.27315	0.30065	0.22946	0.30497	0.27613	0.28629	0.22409	0.28869	0.25618	0.25122	0.25171	0.27148	0.21108	0.28843	0.00000	0.00000	0.04041	0.05278	0.02272	0.03423	0.21554	0.22489	0.00000	0.00000
to_eavesdrop-s	0.05212	0.06983	0.04078	0.07791	0.00000	0.00000	0.00000	0.00000	0.06746	0.04128	0.01851	0.01426	0.00941	0.00709	0.07176	0.00000	0.00000	0.00000	0.01643	0.02432	0.00000	0.00000	0.15458	0.09783	0.00000	0.00000	0.02811	0.01201	0.00000	0.00000	0.01461	0.04487	0.04846	0.01229	0.00000	0.00000	0.10704	0.16946	0.13005	0.11795	0.00000	0.00000	0.05479	0.02373	0.01611	0.01450	0.14934	0.19004	0.25860	0.21933	0.00000	0.00000	0.01494	0.01888	0.01602	0.00000	0.00000	0.01172	0.03696	0.03230	0.01961	0.00000	0.10835	0.08449	0.14245	0.21263	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.09094	0.06417	0.02907	0.02360	0.00000	0.02050	0.01572	0.00000	0.00000	0.00000	0.03637	0.04045	0.04582	0.04874	0.00000	0.00000	0.26005	0.41639	0.25458	0.30956	0.36873	0.41708	0.82492	1.00000	0.30311	0.31231	0.27713	0.30326	0.25631	0.36439	0.21469	0.29838	0.16085	0.26530	0.60514	0.65005	0.42001	0.46604	0.25636	0.30050	0.35570	0.49396	0.24996	0.30580	0.25152	0.30059	0.27301	0.36308	0.19528	0.33973	0.28662	0.29147	0.29787	0.34579	0.19900	0.35886	0.00000	0.00000	0.03064	0.03694	0.00000	0.00916	0.14467	0.17218	0.00000	0.00000
to_fear-b	0.10375	0.10341	0.06898	0.07820	0.00000	0.00000	0.00000	0.00000	0.14984	0.08998	0.03209	0.02884	0.01631	0.01639	0.07118	0.00805	0.00000	0.00427	0.00593	0.02040	0.00000	0.00000	0.38881	0.25087	0.00000	0.00000	0.01624	0.02776	0.01549	0.00000	0.02533	0.08283	0.07779	0.01554	0.00000	0.00000	0.14650	0.19687	0.29270	0.24525	0.00000	0.00000	0.08706	0.04190	0.06206	0.04188	0.39210	0.44913	0.38565	0.31131	0.00000	0.00000	0.03237	0.06366	0.02778	0.00571	0.00000	0.02032	0.06408	0.06665	0.04154	0.01430	0.28608	0.27265	0.43446	0.43253	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.26277	0.16997	0.05419	0.04092	0.01008	0.05501	0.02726	0.00000	0.00000	0.00570	0.08867	0.07714	0.11148	0.12384	0.00000	0.00000	0.54789	0.60535	0.50366	0.48187	0.60264	0.53032	0.31493	0.30311	1.00000	0.85032	0.33211	0.32194	0.46764	0.44506	0.31941	0.34272	0.40314	0.37304	0.24014	0.24521	0.28449	0.27449	0.21060	0.23840	0.39125	0.42328	0.38617	0.40823	0.29070	0.38718	0.28322	0.22480	0.41875	0.45710	0.31245	0.28413	0.43959	0.38334	0.32369	0.36291	0.00000	0.00437	0.05901	0.06938	0.02091	0.02117	0.49695	0.60412	0.00000	0.00000
to_fear-s	0.08886	0.09152	0.06359	0.06921	0.00000	0.00000	0.00000	0.00000	0.13585	0.08334	0.02840	0.02188	0.03850	0.05439	0.05751	0.00000	0.00000	0.00000	0.10503	0.11435	0.00917	0.00000	0.49058	0.38621	0.00000	0.00000	0.01917	0.03481	0.05484	0.04397	0.03363	0.08446	0.13770	0.09039	0.00000	0.00000	0.15847	0.20327	0.39208	0.36223	0.08424	0.07516	0.08523	0.03539	0.14144	0.11213	0.47985	0.55902	0.37331	0.29519	0.00000	0.00000	0.02387	0.06036	0.02458	0.00000	0.00000	0.01799	0.06211	0.04955	0.04011	0.02215	0.35191	0.35635	0.49751	0.56249	0.00000	0.00000	0.10860	0.07612	0.00000	0.00000	0.00000	0.00000	0.22032	0.18633	0.05276	0.03622	0.00446	0.05430	0.02412	0.01134	0.02008	0.02440	0.07557	0.07137	0.10946	0.11927	0.06388	0.05265	0.56630	0.60293	0.47271	0.47029	0.61709	0.56019	0.32273	0.31231	0.85032	1.00000	0.35107	0.35182	0.45273	0.45709	0.31683	0.35455	0.53596	0.53084	0.24241	0.27164	0.31552	0.29947	0.20888	0.26309	0.38934	0.43683	0.37687	0.40914	0.37948	0.40852	0.33978	0.23644	0.41771	0.47327	0.40406	0.37607	0.43820	0.40423	0.34519	0.37281	0.00000	0.00580	0.04700	0.05668	0.09251	0.06090	0.62068	0.70621	0.12859	0.06773
to_feel-b	0.08361	0.10252	0.04259	0.05519	0.00490	0.00000	0.01502	0.00000	0.11658	0.07620	0.04642	0.04624	0.01151	0.01214	0.08386	0.04432	0.00000	0.00000	0.04271	0.01440	0.03216	0.00582	0.18068	0.10473	0.00000	0.00000	0.11120	0.11560	0.00000	0.00701	0.01788	0.04575	0.04392	0.00000	0.00000	0.00583	0.06893	0.13893	0.15074	0.12813	0.00403	0.00000	0.09272	0.09918	0.02497	0.01774	0.15888	0.17069	0.23729	0.20950	0.00000	0.00000	0.06738	0.08760	0.02744	0.00725	0.00000	0.01817	0.07623	0.06209	0.04318	0.03330	0.12037	0.12082	0.19526	0.21230	0.04817	0.11065	0.00000	0.00497	0.00000	0.00000	0.00000	0.00000	0.13762	0.07197	0.08146	0.09010	0.05974	0.07167	0.03847	0.01764	0.00961	0.00000	0.10012	0.07918	0.14457	0.17274	0.00917	0.00000	0.30160	0.41462	0.36305	0.41647	0.36056	0.36702	0.23863	0.27713	0.33211	0.35107	1.00000	0.79065	0.40088	0.45425	0.39726	0.51341	0.20425	0.27380	0.19065	0.24015	0.26837	0.28509	0.32133	0.38385	0.29178	0.34423	0.34825	0.38676	0.21233	0.24946	0.21498	0.25522	0.30504	0.40696	0.43930	0.46716	0.29586	0.31946	0.74234	0.75463	0.00000	0.00000	0.08121	0.05875	0.02023	0.02466	0.16323	0.21340	0.00000	0.00295
to_feel-s	0.08708	0.09560	0.03231	0.04491	0.00000	0.00931	0.02849	0.00000	0.06966	0.05848	0.01718	0.01324	0.00873	0.00658	0.07058	0.03621	0.00344	0.00274	0.02287	0.01092	0.01331	0.00000	0.15885	0.10783	0.00000	0.00000	0.16176	0.16871	0.00000	0.00000	0.01356	0.04859	0.02499	0.00000	0.00000	0.00295	0.12550	0.18972	0.12833	0.12176	0.00306	0.00000	0.13730	0.15600	0.02691	0.02153	0.15428	0.16824	0.28068	0.23751	0.00000	0.00000	0.10917	0.14314	0.01487	0.00000	0.00515	0.01088	0.03431	0.05396	0.03518	0.01378	0.11328	0.11508	0.18854	0.21437	0.07308	0.17109	0.00000	0.00000	0.00000	0.00260	0.00978	0.00850	0.11329	0.07197	0.03569	0.02717	0.09388	0.09922	0.01849	0.00000	0.00000	0.00977	0.06752	0.07809	0.17011	0.20905	0.00000	0.00000	0.30549	0.42184	0.31606	0.38169	0.35282	0.41399	0.24706	0.30326	0.32194	0.35182	0.79065	1.00000	0.35808	0.46198	0.52444	0.70167	0.17531	0.29042	0.22057	0.26149	0.28342	0.30391	0.42107	0.50015	0.27013	0.36325	0.31918	0.41198	0.22879	0.26631	0.22240	0.30246	0.25991	0.40286	0.49991	0.54600	0.35526	0.37205	0.63938	0.75673	0.00351	0.00842	0.05497	0.03429	0.01151	0.00850	0.14920	0.20444	0.00000	0.00000
to_glimpse-b	0.08797	0.08507	0.03525	0.04567	0.00000	0.00000	0.00000	0.00000	0.12381	0.06600	0.01874	0.01444	0.00953	0.00718	0.06914	0.01881	0.01409	0.00842	0.00000	0.01787	0.00000	0.00000	0.28649	0.16717	0.00000	0.00000	0.07116	0.06486	0.00000	0.00000	0.01479	0.04732	0.02726	0.00000	0.00000	0.00000	0.07131	0.12825	0.16980	0.11999	0.00000	0.00000	0.10864	0.07842	0.02447	0.02018	0.21367	0.21968	0.29564	0.22890	0.00000	0.00000	0.04253	0.09959	0.01622	0.00000	0.00000	0.01187	0.03743	0.04672	0.02647	0.00626	0.20177	0.19165	0.36060	0.29697	0.03417	0.06541	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.25445	0.09815	0.02849	0.02390	0.03532	0.07599	0.01592	0.00000	0.00000	0.00500	0.07481	0.05939	0.11904	0.14466	0.00000	0.00000	0.48687	0.51206	0.84557	0.89350	0.45770	0.42298	0.26429	0.25631	0.46764	0.45273	0.40088	0.35808	1.00000	0.84530	0.35419	0.37499	0.24677	0.23839	0.22682	0.20606	0.20823	0.22234	0.14951	0.18050	0.52525	0.55292	0.57790	0.64345	0.18146	0.24344	0.19299	0.17126	0.84566	0.81249	0.24717	0.21305	0.35675	0.31441	0.30824	0.37757	0.00000	0.00383	0.04912	0.03740	0.00000	0.00928	0.32552	0.38775	0.00000	0.00000
to_glimpse-s	0.08929	0.09612	0.05915	0.06141	0.00000	0.00000	0.00000	0.00000	0.12815	0.09411	0.02853	0.04083	0.00829	0.00625	0.05661	0.02455	0.01634	0.00977	0.00000	0.02333	0.01316	0.02619	0.23101	0.15621	0.00000	0.00000	0.07635	0.05643	0.00000	0.00000	0.01287	0.05902	0.02372	0.00000	0.00000	0.00000	0.15510	0.22124	0.14321	0.12261	0.00000	0.00000	0.10960	0.06605	0.03193	0.02474	0.18733	0.21896	0.36286	0.28178	0.00000	0.00000	0.04112	0.08665	0.02823	0.01305	0.00000	0.01033	0.03256	0.03658	0.06909	0.03542	0.18926	0.15829	0.28469	0.30144	0.02477	0.05691	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.18185	0.09570	0.07435	0.06030	0.03073	0.06370	0.02078	0.00977	0.00432	0.01522	0.05758	0.06325	0.14738	0.18694	0.00000	0.00000	0.45790	0.53953	0.72318	0.87172	0.48601	0.52594	0.31712	0.36439	0.44506	0.45709	0.45425	0.46198	0.84530	1.00000	0.35521	0.46210	0.20933	0.29439	0.28028	0.30388	0.33214	0.35530	0.26708	0.30623	0.46886	0.61850	0.56962	0.69622	0.28806	0.35184	0.27505	0.33526	0.73440	0.87664	0.34337	0.31901	0.45323	0.45384	0.29730	0.48780	0.00000	0.00832	0.04498	0.03661	0.02277	0.03026	0.23542	0.30165	0.00000	0.00000
to_grab-b	0.02370	0.03215	0.00611	0.00000	0.00000	0.00000	0.02303	0.00000	0.13892	0.07411	0.00000	0.00000	0.00770	0.00290	0.02192	0.06463	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.16523	0.08259	0.00000	0.00000	0.12464	0.12454	0.00000	0.00000	0.00897	0.01275	0.00000	0.00000	0.00000	0.00000	0.07878	0.08938	0.05043	0.00000	0.00000	0.00000	0.10651	0.12746	0.00000	0.00000	0.15015	0.11240	0.20273	0.12599	0.00000	0.00000	0.07259	0.11111	0.00000	0.00000	0.00000	0.00000	0.00000	0.01888	0.00000	0.00000	0.12616	0.09431	0.21054	0.18381	0.05755	0.13220	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.18366	0.04104	0.00576	0.00000	0.07137	0.07942	0.00000	0.00000	0.00000	0.00000	0.05117	0.05629	0.11104	0.12555	0.00000	0.00000	0.33816	0.40993	0.36668	0.34597	0.30446	0.28406	0.19488	0.21469	0.31941	0.31683	0.39726	0.52444	0.35419	0.35521	1.00000	0.83178	0.11346	0.12537	0.16211	0.17013	0.14028	0.18096	0.25460	0.30122	0.27573	0.28032	0.25725	0.31554	0.17758	0.20970	0.15156	0.15230	0.31544	0.32998	0.28791	0.30186	0.24252	0.25562	0.34602	0.41884	0.00000	0.00000	0.02090	0.00000	0.00000	0.00000	0.19737	0.21279	0.00000	0.00000
to_grab-s	0.06786	0.09434	0.02210	0.02154	0.01010	0.00290	0.03721	0.00442	0.10050	0.07462	0.00748	0.01008	0.01331	0.02721	0.05842	0.08162	0.01124	0.01344	0.04771	0.04279	0.00000	0.00000	0.14359	0.08523	0.00000	0.00000	0.18550	0.20463	0.01895	0.01737	0.00590	0.03399	0.08158	0.05510	0.00845	0.00963	0.17071	0.19411	0.09403	0.06347	0.03327	0.02969	0.14295	0.18440	0.10305	0.07907	0.14035	0.14314	0.27806	0.20793	0.00000	0.00288	0.12351	0.15895	0.01079	0.01197	0.01121	0.01895	0.02773	0.05406	0.01584	0.01999	0.09686	0.10086	0.17453	0.19626	0.08862	0.19836	0.04290	0.03006	0.00591	0.00000	0.01277	0.00617	0.13054	0.06617	0.01516	0.00954	0.11273	0.11242	0.01059	0.00448	0.00793	0.01263	0.07922	0.09560	0.14980	0.19099	0.02523	0.02079	0.33655	0.43915	0.33084	0.38190	0.34512	0.38008	0.23293	0.29838	0.34272	0.35455	0.51341	0.70167	0.37499	0.46210	0.83178	1.00000	0.11077	0.21786	0.21380	0.28106	0.23037	0.28244	0.40745	0.46712	0.28035	0.36111	0.30794	0.41705	0.23373	0.26646	0.24055	0.30523	0.29153	0.42612	0.45281	0.51005	0.38337	0.38492	0.41888	0.61507	0.01720	0.01832	0.05364	0.03358	0.03445	0.02776	0.15424	0.18973	0.05079	0.02675
to_hate-b	0.18795	0.16100	0.13353	0.15796	0.00000	0.00335	0.00000	0.00511	0.15356	0.13105	0.06481	0.05327	0.03295	0.02483	0.13128	0.00434	0.00000	0.00000	0.00479	0.04121	0.01116	0.00000	0.60095	0.51535	0.00000	0.00000	0.00000	0.04206	0.01565	0.00000	0.05117	0.14549	0.09848	0.00718	0.00000	0.00000	0.14249	0.21822	0.69835	0.70519	0.00385	0.00000	0.03198	0.01693	0.07146	0.05584	0.77615	0.76942	0.31892	0.38855	0.00000	0.00000	0.04359	0.02939	0.05611	0.00000	0.00000	0.04105	0.12944	0.11741	0.08087	0.00578	0.48558	0.49314	0.61282	0.74893	0.00000	0.00000	0.00000	0.00000	0.00000	0.00327	0.00000	0.00000	0.10896	0.27780	0.09743	0.08266	0.00611	0.04445	0.06241	0.00518	0.00000	0.00461	0.09553	0.15677	0.12949	0.15304	0.00000	0.00000	0.34943	0.43087	0.25933	0.31469	0.49526	0.48381	0.22769	0.16085	0.40314	0.53596	0.20425	0.17531	0.24677	0.20933	0.11346	0.11077	1.00000	0.82037	0.12582	0.11322	0.32299	0.20227	0.15403	0.21285	0.18560	0.23337	0.28505	0.25455	0.22315	0.20366	0.30005	0.10925	0.17635	0.21072	0.39342	0.36817	0.24677	0.23067	0.32328	0.25135	0.00442	0.00353	0.10729	0.12936	0.00965	0.03208	0.56480	0.60823	0.00000	0.00000
to_hate-s	0.18765	0.17698	0.14378	0.15991	0.00000	0.00278	0.00000	0.00000	0.12761	0.12998	0.06822	0.05672	0.04838	0.06327	0.13818	0.01171	0.00360	0.00430	0.06973	0.09665	0.02318	0.00692	0.53688	0.49232	0.00000	0.00423	0.01454	0.05671	0.03511	0.03058	0.04819	0.16443	0.18022	0.07156	0.00000	0.00000	0.27508	0.33726	0.67994	0.70151	0.04794	0.04277	0.04429	0.01790	0.15836	0.11601	0.68278	0.78859	0.39855	0.48899	0.00000	0.00000	0.04437	0.03053	0.05906	0.01341	0.00000	0.04625	0.12191	0.12084	0.08242	0.02880	0.45064	0.47686	0.47471	0.73143	0.00436	0.00501	0.06180	0.04331	0.00000	0.00408	0.00000	0.00296	0.08126	0.28273	0.09916	0.07785	0.00000	0.04546	0.05593	0.01936	0.01524	0.02618	0.09372	0.14754	0.12399	0.15327	0.03635	0.03869	0.30614	0.47274	0.19977	0.31913	0.46957	0.56797	0.27157	0.26530	0.37304	0.53084	0.27380	0.29042	0.23839	0.29439	0.12537	0.21786	0.82037	1.00000	0.18014	0.24530	0.41833	0.33038	0.25966	0.35277	0.21436	0.30475	0.28173	0.29915	0.26108	0.27120	0.36627	0.26580	0.13940	0.28628	0.49905	0.51135	0.32159	0.35051	0.32805	0.36336	0.00000	0.01173	0.11095	0.12721	0.06718	0.07109	0.43193	0.54123	0.07317	0.03854
to_hear-b	0.05620	0.05647	0.05321	0.05815	0.00000	0.00000	0.00000	0.00000	0.09966	0.08379	0.02763	0.04258	0.07023	0.05468	0.02798	0.01387	0.00000	0.00000	0.02299	0.02635	0.01487	0.02959	0.13908	0.10649	0.00000	0.00000	0.01632	0.00897	0.06337	0.04991	0.02726	0.05582	0.05024	0.01721	0.00000	0.00000	0.13316	0.17387	0.10559	0.10560	0.00000	0.00000	0.05225	0.01886	0.02806	0.02164	0.10662	0.14076	0.22572	0.21063	0.00000	0.00354	0.00697	0.03524	0.03322	0.01474	0.00000	0.00875	0.02759	0.02411	0.06342	0.03694	0.10071	0.09828	0.17886	0.17787	0.00000	0.00000	0.01865	0.01515	0.00000	0.00000	0.00000	0.00000	0.09825	0.06653	0.07116	0.06695	0.00000	0.02642	0.02478	0.01104	0.05374	0.05567	0.03111	0.04629	0.09300	0.12232	0.04040	0.03201	0.24769	0.29741	0.19971	0.23447	0.26921	0.31263	0.58662	0.60514	0.24014	0.24241	0.19065	0.22057	0.22682	0.28028	0.16211	0.21380	0.12582	0.18014	1.00000	0.85178	0.58454	0.58870	0.15321	0.17488	0.19108	0.25396	0.17616	0.23757	0.27379	0.27065	0.31976	0.34929	0.18182	0.27124	0.20245	0.18736	0.26697	0.26338	0.15062	0.25531	0.00000	0.00752	0.02287	0.03217	0.05144	0.03191	0.12998	0.18639	0.00000	0.00000
to_hear-s	0.05381	0.07241	0.03081	0.03991	0.00000	0.00000	0.00000	0.00000	0.04664	0.03204	0.01638	0.01735	0.01873	0.02980	0.04502	0.00925	0.00000	0.00491	0.08178	0.07463	0.01057	0.00789	0.09923	0.06358	0.00000	0.00000	0.02695	0.02391	0.02965	0.01902	0.03717	0.06342	0.13997	0.07904	0.00000	0.00000	0.18071	0.21837	0.12114	0.11218	0.03644	0.03534	0.03434	0.00437	0.09266	0.06013	0.10629	0.15796	0.20531	0.22771	0.00000	0.00000	0.02168	0.00696	0.01890	0.00656	0.00000	0.01037	0.03271	0.04083	0.01735	0.01368	0.05235	0.08132	0.09921	0.14598	0.00000	0.00000	0.05250	0.03592	0.00000	0.00000	0.00466	0.00338	0.05294	0.05915	0.02075	0.02506	0.00000	0.01134	0.01391	0.00491	0.00869	0.01019	0.04149	0.03579	0.02667	0.03532	0.02763	0.02277	0.19326	0.31383	0.16501	0.23122	0.28188	0.31581	0.58631	0.65005	0.24521	0.27164	0.24015	0.26149	0.20606	0.30388	0.17013	0.28106	0.11322	0.24530	0.85178	1.00000	0.68102	0.70187	0.27383	0.31999	0.20716	0.28665	0.20617	0.25119	0.32829	0.32086	0.38550	0.46522	0.13178	0.28155	0.30194	0.31358	0.27811	0.33878	0.16471	0.32500	0.00419	0.00334	0.03389	0.03882	0.05602	0.03445	0.09779	0.11502	0.05562	0.02930
