FeatureEn	FeatureIt	FeatureTypeCoarse	FeatureTypeGranular	TotCountBlind	TotCountSighted	ConceptCountBlind	ConceptCountSighted	NegatedCountBlind	NegatedPercentageBlind	NegatedCountSighted	NegatedPercentageSighted	DistinguishingBlind	DistinguishingSighted	DistinctivenessBlind	DistinctivenessSighted
bone	nocciolo:osso:torsolo	par	mer:mad	14	23	2	4	0	0.0	0	0.0	D	ND	0.500	0.250
book	libro	eco:spa:tax	eco:spa:exa	9	7	1	1	0	0.0	0	0.0	D	D	1.000	1.000
boundless	infinito	qua:ppe:isa:eva	qua:ppe:isa:eva	2	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
boy	ragazzo	eco	eco	2	5	1	1	0	0.0	0	0.0	D	D	1.000	1.000
brain	cervello	eco:spa	eco:spa	12	12	1	1	0	0.0	0	0.0	D	D	1.000	1.000
brake	freno	par	mer	4	0	2	0	0	0.0	NA	NA	D	NA	0.500	NA
bread	pane	eco:tax:spa	eco:spa:exa	5	5	1	1	0	0.0	0	0.0	D	D	1.000	1.000
breakfast	colazione	eco:tim	eco:tim	0	6	0	1	NA	NA	0	0.0	NA	D	NA	1.000
breed	razza	eab:tax:ppe:pnp:eco	eab:exa:ppe:pnp:eco	13	11	3	3	0	0.0	0	0.0	ND	ND	0.333	0.333
bridle	briglia	eco	eco	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
bright	acceso:sgargiante:luminoso	ppe	ppe	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
brioche	pasta	eco	eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
broad	largo:grande:larga:grosso	ppe	ppe	7	9	1	2	0	0.0	0	0.0	D	D	1.000	0.500
brother	fratello	eco	eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
brown	marrone:bruno	ppe	ppe	4	45	1	5	0	0.0	0	0.0	D	ND	1.000	0.200
buddhism	buddismo	tax	exa	3	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
building	edificio:palazzo:costruzione:stabile:palazzina:edilizia	isa:spa:par:eco	isa:spa:eco:hol:mer	8	16	1	2	0	0.0	0	0.0	D	D	1.000	0.500
bunch	casco	par	hol	0	6	0	1	NA	NA	0	0.0	NA	D	NA	1.000
bush	cespuglio	par	mer	2	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
by_now	ormai:oramai	tim	tim	0	6	0	1	NA	NA	0	0.0	NA	D	NA	1.000
cabin	abitacolo:cabina	par:isa	mer:isa	4	5	1	1	0	0.0	0	0.0	D	D	1.000	1.000
cage	gabbia	spa:eco	spa:eco	17	19	1	1	0	0.0	0	0.0	D	D	1.000	1.000
cake	dolce:torta:focaccia	eco:spa:ppe	eco:spa:ppe	18	12	5	4	0	0.0	0	0.0	ND	ND	0.200	0.250
call	verso:richiamo	eco:ppe:par	eco:ppe:mer	21	5	5	1	0	0.0	0	0.0	ND	D	0.200	1.000
calm	calmo:calma:tranquillità	ppe:eab:tim:pnp:eva	ppe:eab:tim:pnp:eva	7	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
calorie	caloria	par	mer	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
canary_islands	isole_canarie	spa	spa	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
cappuccino	cappuccino	par:eco	mer:eco	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
captivity	cattività	pnp:spa	pnp:spa	4	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
capuccino	cappuccino	eco	eco	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
car	macchina:automobile:vettura	tax:eco:isa:spa	coo:eco:syn:isa:spa	20	13	4	5	1	5.0	0	0.0	ND	ND	0.250	0.200
car_seat	sedile	par	mer	6	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
card	carta	eco	eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
care	cura:premura:impegno:assistenza	eab:man:eco	eab:man:eco	4	0	1	0	1	25.0	NA	NA	D	NA	1.000	NA
carefully	attentamente:modo_attento	man	man	6	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
caress	carezza	eco:isa	eco:isa	5	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
carnivorous	carnivoro	ppe:pnp:isa	ppe:pnp:isa	0	9	0	3	NA	NA	0	0.0	NA	ND	NA	0.333
carpenter	falegname:falegnama	eco	eco	8	9	2	2	0	0.0	0	0.0	D	D	0.500	0.500
carriage	carrozza	eco:par	eco:mer	4	4	1	2	0	0.0	0	0.0	D	D	1.000	0.500
carrion	carogna	eco	eco	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
cart	carro	eco	eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
cartoon	cartone_animato	eco:tax:spa	eco:spa:exa	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
cash	cassa	par:eco	mer:eco	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
cat	gatto	tax:eco	eco:coo	4	5	1	1	0	0.0	0	0.0	D	D	1.000	1.000
catering	ristorazione	eco:pnp	eco:pnp	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
cathedral	cattedrale	tax:isa	syn:isa:coo	4	5	1	1	0	0.0	0	0.0	D	D	1.000	1.000
catholicism	cattolicesimo	tax:spa:pnp	exa:spa:pnp	8	5	1	1	0	0.0	0	0.0	D	D	1.000	1.000
cattle	bestiame	eco	eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
center	centro	spa:isa	spa:isa	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
central_america	america_centrale	spa:eco	spa:eco	0	5	0	2	NA	NA	0	0.0	NA	D	NA	0.500
central_part	parte_centrale	par:spa	mer:spa	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
chain	catena	isa:eco:par	isa:eco:hol	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
chair	sedia:seggiola	par:eco	mer:eco	4	5	1	1	0	0.0	0	0.0	D	D	1.000	1.000
cheek	guancia	spa:eco	spa:eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
cherry(_tomato)	ciliegino	tax	exa	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
cherry_tree	ciliegio	eco:spa	eco:spa	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
chestnut	castagna	par:tax:eco	mer:exa:eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
child	bambino:piccolo	eco:tim:spa:eva	eco:tim:spa:eva	32	28	10	7	0	0.0	0	0.0	ND	ND	0.100	0.143
chinese	cinese	tax:spa	spa:exa	4	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
christ	cristo	eab:tax	eab:exa	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
christianity	cristianesimo	tax:spa:eco	exa:spa:eco	5	10	1	2	0	0.0	0	0.0	D	D	1.000	0.500
church	chiesa	isa:eco:spa	isa:eco:spa	17	15	1	1	0	0.0	0	0.0	D	D	1.000	1.000
circulation	circolazione	eco:spa	eco:spa	2	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
circus	circo	spa	spa	0	4	0	2	NA	NA	0	0.0	NA	D	NA	0.500
citizen	cittadino	eco:spa	eco:spa	0	5	0	1	NA	NA	0	0.0	NA	D	NA	1.000
city	città:urbano:cittadino	spa:eco:isa	spa:eco:isa	32	44	6	10	0	0.0	0	0.0	ND	ND	0.167	0.100
city_dump	discarica	spa:eco	spa:eco	3	4	1	1	0	0.0	0	0.0	D	D	1.000	1.000
civil	civile	pnp:ppe:tax:spa	pnp:ppe:spa:exa	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
claw	artiglio	par	mer	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
clean	pulito	ppe:pnp:eva	ppe:pnp:eva	5	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
clear	chiaro:nitido	ppe:pnp	ppe:pnp	0	11	0	2	NA	NA	0	0.0	NA	D	NA	0.500
clerk	commesso	eco	eco	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
clever	intelligente	pnp	pnp	10	8	3	1	0	0.0	0	0.0	ND	D	0.333	1.000
cliff	scogliera:rupe:falesia	spa:tax:eco	spa:exa:eco:ant	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
climate	clima	eab:spa:eco	eab:spa:eco	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
close	vicino:stretto	spa:man:ppe	spa:man:ppe	9	5	1	1	0	0.0	0	0.0	D	D	1.000	1.000
close_to	vicino	spa:man:eve	spa:man:eve	7	9	1	3	0	0.0	0	0.0	D	ND	1.000	0.333
closed	chiuso	pnp:spa:ppe:par:man	pnp:spa:ppe:mer:man	7	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
closeness	vicinanza	spa:isa:eco:eab	spa:isa:eco:eab	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
clothing	abbigliamento:vestito	tax:eco	exa:eco	5	8	1	1	0	0.0	0	0.0	D	D	1.000	1.000
coal	carbone	tax:eco	exa:eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
coast	costa	spa:eco	spa:eco	2	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
coffee	caffè	eco:par	eco:mer	11	16	1	1	0	0.0	0	0.0	D	D	1.000	1.000
coffee_machine	macchina_per_caffè	par	mer	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
cold	freddo	ppe:spa:eco	ppe:spa:eco	7	6	1	1	0	0.0	0	0.0	D	D	1.000	1.000
cold_country	paese_freddo	spa	spa	6	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
colleague	collega	eco	eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
collision	urto	tax:eco	exa:eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
color	colore	ppe:eco	ppe:eco	9	0	3	0	0	0.0	NA	NA	ND	NA	0.333	NA
colored	colorato	ppe	ppe	6	4	1	1	0	0.0	0	0.0	D	D	1.000	1.000
column	colonna	par:eco	mer:eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
combustion	a_scoppio:a_combustione	tax	exa	0	6	0	2	NA	NA	0	0.0	NA	D	NA	0.500
comfort	conforto:comfort:comodità	par:pnp:isa:eco	mer:pnp:isa:eco	4	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
comfortable	comodo:confortevole	pnp:eva	pnp:eva	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
commercial	commerciale	eco:pnp:ppe:isa	eco:pnp:ppe:isa	0	8	0	2	NA	NA	0	0.0	NA	D	NA	0.500
common	comune	pnp:ppe:spa:qua:man	pnp:ppe:spa:qua:man	7	15	1	3	0	0.0	0	0.0	D	ND	1.000	0.333
communication	comunicazione	eco:eva:eab	eco:eva:eab	8	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
community	comunità:comunanza	spa:eco:par	spa:eco:hol	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
commuter	pendolare	eco	eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
company	compagnia	eab:spa:eco	eab:spa:eco	10	14	2	3	0	0.0	0	0.0	D	ND	0.500	0.333
company(_pet)	da_compagnia:compagnia	tax:eab	exa:eab	0	6	0	2	NA	NA	0	0.0	NA	D	NA	0.500
compartment	scompartimento:scomparto	par	mer	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
complex	complesso	pnp:eva:spa:par	pnp:eva:spa:hol	10	0	3	0	0	0.0	NA	NA	ND	NA	0.333	NA
complicity	complicità	eab	eab	2	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
computer	computer	eco:tax	eco:exa	6	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
concept	concetto	isa:eab:eco	isa:eab:eco	24	21	5	4	0	0.0	0	0.0	ND	ND	0.200	0.250
condition	condizione:stato	isa:eab	isa:eab	10	12	3	2	0	0.0	0	0.0	ND	D	0.333	0.500
condominium	condominio	spa:eco:par	spa:eco:hol	4	8	1	1	0	0.0	0	0.0	D	D	1.000	1.000
confidence	fiducia	eab	eab	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
conical	forma_conica	ppe	ppe	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
conifer	conifera	tax:par	mer:exa	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
consequence	conseguenza	eab:tim:pnp:man:eco	eab:tim:pnp:man:eco	0	9	0	1	NA	NA	0	0.0	NA	D	NA	1.000
consistency	consistenza	eco:eab	eco:eab	0	9	0	2	NA	NA	0	0.0	NA	D	NA	0.500
construction	costruzione	isa:eco	isa:eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
contact	contatto	eco:isa:man:eab	eco:isa:man:eab	7	0	2	0	0	0.0	NA	NA	D	NA	0.500	NA
continent	continente	spa:eco	spa:eco	4	5	1	1	0	0.0	0	0.0	D	D	1.000	1.000
conversation	conversazione	eco:pnp	eco:pnp	0	6	0	1	NA	NA	0	0.0	NA	D	NA	1.000
conviction	convinzione	isa:eab	isa:eab	4	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
cook	cuoco	eco	eco	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
coolness	frescura:fresco	pnp:eco:eab	pnp:eco:eab	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
counter	bancone:banco	par:spa	mer:spa	3	8	1	1	0	0.0	0	0.0	D	D	1.000	1.000
country	paese:campagna:stato:nazione	spa:eco	spa:eco	0	19	0	3	NA	NA	0	0.0	NA	ND	NA	0.333
countryside	campagna	spa:eco	spa:eco	10	19	1	3	0	0.0	0	0.0	D	ND	1.000	0.333
couple	coppia	eco:man	eco:man	6	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
covered	ricoperto:rivestito:coperto	ppe:pnp:eve	ppe:pnp:eve	4	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
crafty	furbo	pnp:eva	pnp:eva	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
crash_helmet	casco	eco	eco	5	4	1	1	0	0.0	0	0.0	D	D	1.000	1.000
cream	crema	eco:spa	eco:spa	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
crescent	mezzaluna:mezza_luna	ppe	ppe	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
cross	a_croce:da_cross:croce	tax:spa	exa:spa	3	8	1	1	0	0.0	0	0.0	D	D	1.000	1.000
cruise	crociera	tax:eco	exa:eco	7	7	1	1	0	0.0	0	0.0	D	D	1.000	1.000
crystalline	cristallino	ppe	ppe	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
cuisine	cucina	spa:eco:eab	spa:eco:eab	13	12	4	3	0	0.0	0	0.0	ND	ND	0.250	0.333
culinary	culinario	spa:pnp	spa:pnp	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
cultivation	coltivazione:cultura	eco:spa	eco:spa	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
culture	cultura	eab:spa:isa:eco	eab:spa:isa:eco	5	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
curiosity	curiosità	eab	eab	4	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
curious	curioso	pnp	pnp	5	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
curved	ricurvo:curvo	ppe	ppe	4	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
custom	abitudine:consuetudine	eab:isa	eab:isa	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
customer	cliente	eco	eco	0	4	0	2	NA	NA	0	0.0	NA	D	NA	0.500
