FeatureEn	FeatureIt	FeatureTypeCoarse	FeatureTypeGranular	TotCountBlind	TotCountSighted	ConceptCountBlind	ConceptCountSighted	NegatedCountBlind	NegatedPercentageBlind	NegatedCountSighted	NegatedPercentageSighted	DistinguishingBlind	DistinguishingSighted	DistinctivenessBlind	DistinctivenessSighted
(bed)room	camera	par	mer	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
(company_)pet	da_compagnia	tax:eab	exa:eab	8	15	2	3	0	0.0	0	0.0	D	ND	0.500	0.333
(tomato_)sauce	conserva	eco:tax	eco:exa	2	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
(under_)carriage	carrello	par	mer	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
ability	capacità:dote	eab:isa:eco	eab:isa:eco	13	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
abstract	astratto	ppe:pnp:man:isa:eab	ppe:pnp:man:isa:eab	8	5	2	1	0	0.0	0	0.0	D	D	0.500	1.000
act	atto	isa:eco	isa:eco	0	17	0	1	NA	NA	0	0.0	NA	D	NA	1.000
action	azione:atto	isa:eco:eab:eve	isa:eco:eab:eve	157	284	23	25	0	0.0	0	0.0	ND	ND	0.043	0.040
activity	attività	eab:isa:eco	eab:isa:eco	10	22	1	4	0	0.0	0	0.0	D	ND	1.000	0.250
adversion	avversione	eab:isa:eva	eab:isa:eva	0	5	0	1	NA	NA	0	0.0	NA	D	NA	1.000
affection	affetto:affezione	eab:isa:eva	eab:isa:eva	9	10	2	3	0	0.0	0	0.0	D	ND	0.500	0.333
affectionate	affettuoso	pnp:ppe:eva	pnp:ppe:eva	7	3	3	1	0	0.0	0	0.0	ND	D	0.333	1.000
affective	affettivo	pnp	pnp	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
africa	africa	spa:eco	spa:eco	20	31	4	3	0	0.0	0	0.0	ND	ND	0.250	0.333
after	dopo:successivamente:previo:previa	tim	tim	10	7	2	1	0	0.0	0	0.0	D	D	0.500	1.000
agitated	agitato	ppe	ppe	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
agitation	agitazione	eab	eab	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
agriculture	agricoltura:agraria	spa:eco	spa:eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
air	aria	eco:spa:par	eco:spa:mer	13	0	3	0	0	0.0	NA	NA	ND	NA	0.333	NA
airway	via_aerea	spa	spa	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
alcoholic	alcolico	eco:ppe:par	eco:ppe:mer	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
all	tutto	qua	qua	9	22	1	1	0	0.0	0	0.0	D	D	1.000	1.000
all_seasons	tutte_le_stagioni	tim	tim	6	0	2	0	0	0.0	NA	NA	D	NA	0.500	NA
almost	quasi	qua	qua	0	18	0	4	NA	NA	0	0.0	NA	ND	NA	0.250
alps	alpi	tax	ins	2	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
altar	altare	par	mer	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
altitude	altitudine:quota	eco:spa:eab	eco:spa:eab	0	6	0	1	NA	NA	0	0.0	NA	D	NA	1.000
always	sempre	tim:qua	tim:qua	0	27	0	5	NA	NA	0	0.0	NA	ND	NA	0.200
america	america	spa	spa	5	6	2	2	0	0.0	0	0.0	D	D	0.500	0.500
american	americana	tax:spa	spa:exa	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
anarchy	anarchia	eco:eab	eco:eab	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
ancient	antico	tim:ppe:pnp	tim:ppe:pnp	0	5	0	1	NA	NA	0	0.0	NA	D	NA	1.000
anger	rabbia:ira:arrabbiatura	eab	eab	7	5	1	1	0	0.0	0	0.0	D	D	1.000	1.000
animal	animale	isa:eco:spa:par	isa:eco:spa:mer:mad	187	242	13	23	0	0.0	0	0.0	ND	ND	0.077	0.043
antarctica	antartide	spa	spa	2	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
antiquity	antichità	tim	tim	3	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
anxiety	ansia	eab:tax:eva	eab:coo:eva	7	11	2	2	0	0.0	0	0.0	D	D	0.500	0.500
anxious	ansioso	pnp	pnp	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
apennines	appennino	tax	ins	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
aperitif	aperitivo	eco:par	eco:mer	6	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
appearance	aspetto	eab:isa:eco	eab:isa:eco	0	7	0	2	NA	NA	0	0.0	NA	D	NA	0.500
apple	mela	tax	coo	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
apple_tree	melo	eco:spa	eco:spa	2	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
apprehension	apprensione	tax:isa	syn:isa	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
aquatic	acquatico	spa:pnp	spa:pnp	4	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
arctic	artico:glaciale_artico:artide	spa:tax	spa:exa	0	4	0	2	NA	NA	0	0.0	NA	D	NA	0.500
argentine	argentina	spa	spa	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
around	intorno:in_giro	spa:man	spa:man	13	12	2	1	0	0.0	0	0.0	D	D	0.500	1.000
art	arte	isa:eco:eab	isa:eco:eab	12	2	3	1	0	0.0	0	0.0	ND	D	0.333	1.000
artificial	artificiale	pnp:tax	pnp:exa	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
asia	asia	spa:eco	spa:eco	6	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
aspect	aspetto	eab:isa	eab:isa	8	0	2	0	0	0.0	NA	NA	D	NA	0.500	NA
at_the_top_of_one_'s_voice	squarciagola	man	man	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
attachment	attaccamento	eab:eco	eab:eco	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
attention	attenzione	eab:man	eab:man	14	19	2	4	0	0.0	0	0.0	D	ND	0.500	0.250
attitude	atteggiamento:attitudine:carattere	isa:eab:eco	isa:eab:eco	9	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
auditory_system	apparato_uditivo	eco	eco	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
automobile_producer	casa_automobilistica	eco	eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
average	medio:mediamente	ppe:man	ppe:man	0	9	0	1	NA	NA	0	0.0	NA	D	NA	1.000
aviary	voliera	spa:par	spa:mer	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
away	lontano:via	spa:man	spa:man	15	0	4	0	0	0.0	NA	NA	ND	NA	0.250	NA
back	schiena:dorso:retro:posteriore:indietro:groppa	spa:par:man	spa:mer:man	0	7	0	2	NA	NA	0	0.0	NA	D	NA	0.500
bad	brutto:male:cattivo	eva:man:pnp:isa	eva:man:pnp:isa	13	10	3	2	0	0.0	0	0.0	ND	D	0.333	0.500
bad_omen	malaugurio	eab	eab	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
bag	borsa	spa	spa	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
baked	al_forno	tax	exa	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
balcony	balcone	par	mer	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
bank	riva	spa:isa	spa:isa	5	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
bar	bar:sbarra	eco:par	eco:mer	4	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
base	base	spa:pnp:isa:eco:eab	spa:pnp:isa:eco:eab	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
basilica	basilica	tax	coo:syn	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
basin	bacino	spa	spa	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
bather	bagnante	eco	eco	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
bathing	balneare:balneazione	pnp:eco:eab	pnp:eco:eab	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
bathroom	bagno	par:spa:eco	mer:spa:eco	3	8	1	1	0	0.0	0	0.0	D	D	1.000	1.000
bay	baio	tax	exa	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
beach	spiaggia	spa:eco	spa:eco	6	0	2	0	0	0.0	NA	NA	D	NA	0.500	NA
beach_umbrella	ombrellone	eco	eco	6	5	1	1	0	0.0	0	0.0	D	D	1.000	1.000
beak	becco	par	mer	0	36	0	5	NA	NA	0	0.0	NA	ND	NA	0.200
beauty	bellezza:estetica:di_bellezza	ppe:pnp:eva:tax:spa:isa:eab	ppe:pnp:eva:spa:isa:exa:eab	0	8	0	1	NA	NA	0	0.0	NA	D	NA	1.000
bedroom	camera_da_letto:camera	par	mer	2	5	1	1	0	0.0	0	0.0	D	D	1.000	1.000
before	prima	tim	tim	16	7	2	1	0	0.0	0	0.0	D	D	0.500	1.000
beginning	inizio	tim:spa	tim:spa	0	8	0	1	NA	NA	0	0.0	NA	D	NA	1.000
behavior	comportamento	eco:eab	eco:eab	0	4	0	1	NA	NA	0	0.0	NA	D	NA	1.000
behind	dietro	spa	spa	14	8	2	1	0	0.0	0	0.0	D	D	0.500	1.000
belief	credenza:credo	eab:isa	eab:isa	5	10	2	2	0	0.0	0	0.0	D	D	0.500	0.500
bell_tower	campanile	par	mer	5	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
belly	pancia	par	mer	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
bench	panca:banco	par:spa	mer:spa	3	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
beneficial	benefico	pnp:ppe	pnp:ppe	0	3	0	1	NA	NA	0	0.0	NA	D	NA	1.000
best_man_'s_friend	miglior_amico_dell'_uomo	eva	eva	2	4	1	1	0	0.0	0	0.0	D	D	1.000	1.000
beta-carotene	betacarotene	par	mer	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
better	meglio:migliore	man:eva:pnp	man:eva:pnp	14	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
between	tra	spa	spa	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
bible	bibbia	eco	eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
bicycle	bicicletta	tax:eco:isa	coo:eco:isa	6	3	2	1	0	0.0	0	0.0	D	D	0.500	1.000
big	grande:grosso	ppe:spa:pnp:isa	ppe:spa:pnp:isa	86	107	20	26	0	0.0	0	0.0	ND	ND	0.050	0.038
bill	conto	eco	eco	0	2	0	1	NA	NA	0	0.0	NA	D	NA	1.000
bird	uccello:volatile:pennuto	isa:eco:tax:ppe:man	isa:eco:coo:ppe:man	85	103	9	6	0	0.0	0	0.0	ND	ND	0.111	0.167
bishop	vescovo	eco	eco	2	6	1	1	0	0.0	0	0.0	D	D	1.000	1.000
black	nero	ppe:tax	ppe:exa	19	103	5	10	0	0.0	0	0.0	ND	ND	0.200	0.100
blade	lama:filo:a_lama	par:tax	mer:exa	14	15	1	2	0	0.0	0	0.0	D	D	1.000	0.500
blindly	ciecamente:fideisticamente	man	man	2	2	1	1	0	0.0	0	0.0	D	D	1.000	1.000
blue	blu:azzurro	ppe	ppe	4	7	2	1	0	0.0	0	0.0	D	D	0.500	1.000
boar	cinghiale	eco	eco	2	0	1	0	0	0.0	NA	NA	D	NA	1.000	NA
boat	barca:imbarcazione	eco:isa:tax:spa	eco:isa:exa:coo:spa	9	10	1	2	0	0.0	0	0.0	D	D	1.000	0.500
body	corpo:organismo:carrozzeria:fisico	eco:spa:par	eco:spa:mer	28	38	3	7	0	0.0	0	0.0	ND	ND	0.333	0.143
bond	legame	isa:eco:eab	isa:eco:eab	2	3	1	1	0	0.0	0	0.0	D	D	1.000	1.000
