Subject	Group	ConceptIt	ConceptEn	POS	Class	Phrase	FeatureIt	FeatureEn	FeatureTypeGranular	FeatureTypeCoarse	Polarity	FeatureOrder
1	s	accarezzare	to_stroke	v	tac_event	è_un'azione	azione	action	isa	isa	p	1
1	s	accarezzare	to_stroke	v	tac_event	si_compie_su_persone	persona	person	eco	eco	p	2
1	s	accarezzare	to_stroke	v	tac_event	si_compie_su_animali	animale	animal	eco	eco	p	3
1	s	accarezzare	to_stroke	v	tac_event	si_utilizzano_le_mani	mano	hand	eco	eco	p	4
1	s	accarezzare	to_stroke	v	tac_event	si_fa_sulle_guance	guancia	cheek	spa	spa	p	5
1	s	accarezzare	to_stroke	v	tac_event	si_fa_sulle_mani	mano	hand	spa	spa	p	6
1	s	accarezzare	to_stroke	v	tac_event	si_fa_sulla_schiena	schiena	back	spa	spa	p	7
1	s	accarezzare	to_stroke	v	tac_event	è_come_toccare	toccare	to_touch	isa	isa	p	8
1	s	accarezzare	to_stroke	v	tac_event	ma_più_lievemente	lievemente	slightly	man	man	p	9
1	s	aeroplano	airplane	n	vehicle	è_un_mezzo_di_trasporto	mezzo_di_trasporto	transport	isa	isa	p	1
1	s	aeroplano	airplane	n	vehicle	vola	volare	to_fly	eve	eve	p	2
1	s	aeroplano	airplane	n	vehicle	trasporta	trasportare	to_transport	eve	eve	p	3
1	s	aeroplano	airplane	n	vehicle	(centinaia)_di_persone	persona	person	eco	eco	p	4
1	s	aeroplano	airplane	n	vehicle	guidato	essere_guidato	to_be_driven	eve	eve	p	5
1	s	aeroplano	airplane	n	vehicle	(da_uno_o_due)_piloti	pilota	pilot	eco	eco	p	6
1	s	aeroplano	airplane	n	vehicle	è_piccolo	piccolo	small	ppe	ppe	p	7
1	s	aeroplano	airplane	n	vehicle	plana	planare	to_plane	eve	eve	p	8
1	s	aeroplano	airplane	n	vehicle	decolla	decollare	to_take_off	eve	eve	p	9
1	s	aeroplano	airplane	n	vehicle	atterra	atterrare	to_land	eve	eve	p	10
1	s	aeroplano	airplane	n	vehicle	parte	partire	to_leave	eve	eve	p	11
1	s	aeroplano	airplane	n	vehicle	(parte)_su_una_pista	pista	runway	spa	spa	p	12
1	s	aeroplano	airplane	n	vehicle	fa_viaggi	viaggio	trip	eab	eab	p	13
1	s	aeroplano	airplane	n	vehicle	(fa_viaggi)_lunghi	lungo	long	tim	tim	p	14
1	s	allegria	cheerfulness	n	emotion	è_una_sensazione	sensazione	feeling	isa	isa	p	1
1	s	allegria	cheerfulness	n	emotion	si_prova	essere_provato	to_be_felt	eve	eve	p	2
1	s	allegria	cheerfulness	n	emotion	(si_prova)_quando_si_è_felici	felice	happy	pnp	pnp	p	3
1	s	allegria	cheerfulness	n	emotion	(si_prova)_quando_si_è_contenti	contento	happy	pnp	pnp	p	4
1	s	allegria	cheerfulness	n	emotion	(si_prova)_quando_ci_si_diverte	divertirsi	to_have_fun	eve	eve	p	5
1	s	allegria	cheerfulness	n	emotion	(si_prova)_in_compagnia	compagnia	company	eab	eab	p	6
1	s	automobile	car	n	vehicle	è_un_mezzo_di_trasporto	mezzo_di_trasporto	transport	isa	isa	p	1
1	s	automobile	car	n	vehicle	ha_(quattro)_ruote	ruota	wheel	mer	par	p	2
1	s	automobile	car	n	vehicle	va	andare	to_go	eve	eve	p	3
1	s	automobile	car	n	vehicle	(va)_sulla_strada	strada	road	spa	spa	p	4
1	s	automobile	car	n	vehicle	ha_(due)_posti	posto	place	mer	par	p	5
1	s	automobile	car	n	vehicle	ha_vari_colori	vario_colore	various_colors	qua	qua	p	6
1	s	automobile	car	n	vehicle	è_di_metallo	metallo	metal	mad	par	p	7
1	s	automobile	car	n	vehicle	è_verniciata	essere_verniciato	to_be_painted	eve	eve	p	8
1	s	automobile	car	n	vehicle	ha_un_volante	volante	steering_wheel	mer	par	p	9
1	s	automobile	car	n	vehicle	ha_un_cruscotto	cruscotto	dashboard	mer	par	p	10
1	s	automobile	car	n	vehicle	ha_dei_sedili	sedile	car_seat	mer	par	p	11
1	s	automobile	car	n	vehicle	ha_una_bauliera	bauliera	trunk/boot	mer	par	p	12
1	s	automobile	car	n	vehicle	è_chiusa	chiuso	closed	mer	par	p	13
1	s	automobile	car	n	vehicle	(va)_velocemente	velocemente	quickly	man	man	p	14
1	s	automobile	car	n	vehicle	è_da_corsa	da_corsa	racing_car	exa	tax	p	15
1	s	avvistare	to_spot	v	vis_event	è_un'azione	azione	action	isa	isa	p	1
1	s	avvistare	to_spot	v	vis_event	si_fa_con_gli_occhi	occhio	eye	eco	eco	p	2
1	s	avvistare	to_spot	v	vis_event	si_fa_di_qualcuno	qualcuno	someone	eco	eco	p	3
1	s	avvistare	to_spot	v	vis_event	quando_è_lontano	lontano	far	spa	spa	p	4
1	s	avvistare	to_spot	v	vis_event	si_fa_di_qualcosa	qualcosa	something	eco	eco	p	5
1	s	avvistare	to_spot	v	vis_event	si_fa_da_una_finestra	finestra	window	spa	spa	p	6
1	s	banana	banana	n	fruit	è_un_frutto	frutto	fruit	isa	isa	p	1
1	s	banana	banana	n	fruit	è_tropicale	tropicale	tropical	spa	spa	p	2
1	s	banana	banana	n	fruit	è_gialla	giallo	yellow	ppe	ppe	p	3
1	s	banana	banana	n	fruit	è_lunga	lungo	long	ppe	ppe	p	4
1	s	banana	banana	n	fruit	è_arcuata	arcuato	arched	ppe	ppe	p	5
1	s	banana	banana	n	fruit	cresce	crescere	to_grow	eve	eve	p	6
1	s	banana	banana	n	fruit	(cresce)_in_caschi	casco	bunch	hol	par	p	7
1	s	banana	banana	n	fruit	(cresce)_sulle_palme	palma	palm	spa	spa	p	8
1	s	banana	banana	n	fruit	si_sbuccia	essere_sbucciato	to_be_peeled	eve	eve	p	9
1	s	banana	banana	n	fruit	la_mangiano	essere_mangiato	to_be_eaten	eve	eve	p	10
1	s	banana	banana	n	fruit	(la_mangiano)_le_scimmie	scimmia	monkey	eco	eco	p	11
1	s	banana	banana	n	fruit	è_dolce	dolce	sweet	ppe	ppe	p	12
1	s	banana	banana	n	fruit	è_pastosa	pastoso	doughy	ppe	ppe	p	13
1	s	bar	bar	n	art_loc	è_un_luogo	luogo	place	isa	isa	p	1
1	s	bar	bar	n	art_loc	si_prendono	prendere	to_take	eve	eve	p	2
1	s	bar	bar	n	art_loc	(si_prendono)_le_bibite	bibita	drink	eco	eco	p	3
1	s	bar	bar	n	art_loc	(si_prende)_il_caffè	caffè	coffee	eco	eco	p	4
1	s	bar	bar	n	art_loc	si_comprano	comprare	to_buy	eve	eve	p	5
1	s	bar	bar	n	art_loc	(si_comprano)_focaccine	focaccia	focaccia	eco	eco	p	6
1	s	bar	bar	n	art_loc	(si_comprano)_paste	pasta	brioche	eco	eco	p	7
1	s	bar	bar	n	art_loc	c'è_un_bancone	bancone	counter	mer	par	p	8
1	s	bar	bar	n	art_loc	ci_sono_persone	persona	person	eco	eco	p	9
1	s	bar	bar	n	art_loc	(ci_sono_persone_al_di_là_del_bancone)_che_servono	servire	to_serve	eve	eve	p	10
1	s	bar	bar	n	art_loc	vende	vendere	to_sell	eve	eve	p	11
1	s	bar	bar	n	art_loc	(vende)_gelati	gelato	ice_cream	eco	eco	p	12
1	s	bar	bar	n	art_loc	(è_un_luogo)_di_ritrovo	ritrovarsi	to_meet	eve	eve	p	13
1	s	bar	bar	n	art_loc	ha_un'insegna	insegna	sign	mer	par	p	14
1	s	bar	bar	n	art_loc	(ha_un'insegna)_luminosa	luminoso	luminous	ppe	ppe	p	15
1	s	bar	bar	n	art_loc	(ha_un'insegna_luminosa)_fuori	fuori	outside	spa	spa	p	16
1	s	bar	bar	n	art_loc	è_piccolo	piccolo	small	ppe	ppe	p	17
1	s	bar	bar	n	art_loc	è_grande	grande	big	ppe	ppe	p	18
1	s	bar	bar	n	art_loc	(si_prendono)_patatine	patatina	chip	eco	eco	p	19
1	s	cantare	to_sing	v	aud_event	si_fa_con_la_bocca	bocca	mouth	eco	eco	p	1
1	s	cantare	to_sing	v	aud_event	si_fa_piano	piano	softly	man	man	p	2
1	s	cantare	to_sing	v	aud_event	si_fa_forte	forte	loudly	man	man	p	3
1	s	cantare	to_sing	v	aud_event	è_di_musica	musica	music	eco	eco	p	4
1	s	cantare	to_sing	v	aud_event	lirica	lirica	operatic	exa	tax	p	5
1	s	cantare	to_sing	v	aud_event	(è_di_musica)_leggera	leggera	pop	exa	tax	p	6
1	s	cantare	to_sing	v	aud_event	è_accompagnato	accompagnare	to_accompany	eve	eve	p	7
1	s	cantare	to_sing	v	aud_event	(è_accompagnato)_da_strumenti_musicali	strumento_musicale	musical_instrument	eco	eco	p	8
1	s	cantare	to_sing	v	aud_event	servono_le_corde_vocali	corda_vocale	vocal_cord	eco	eco	p	9
1	s	cantare	to_sing	v	aud_event	bisogna_studiare	studiare	to_study	eve	eve	p	10
1	s	ciliegia	cherry	n	fruit	è_un_frutto	frutto	fruit	isa	isa	p	1
1	s	ciliegia	cherry	n	fruit	è_rossa	rosso	red	ppe	ppe	p	2
1	s	ciliegia	cherry	n	fruit	è_di_forma_quasi_sferica	sferico	spherical	ppe	ppe	p	3
1	s	ciliegia	cherry	n	fruit	ha_un_picciolo	picciolo	peduncle	mer	par	p	4
1	s	ciliegia	cherry	n	fruit	è_rossa_scura	rosso_scuro	dark_red	ppe	ppe	p	5
1	s	ciliegia	cherry	n	fruit	è_rossa_chiara	rosso_chiaro	light_red	ppe	ppe	p	6
1	s	ciliegia	cherry	n	fruit	è_candita	candito	candied	exa	tax	p	7
1	s	ciliegia	cherry	n	fruit	è_dolce	dolce	sweet	ppe	ppe	p	8
1	s	ciliegia	cherry	n	fruit	è_aspra	aspro	sour	ppe	ppe	p	9
1	s	ciliegia	cherry	n	fruit	ha_il_nocciolo	nocciolo	stone	mer	par	p	10
1	s	coltello	knife	n	tool	è_un_oggetto	oggetto	object	isa	isa	p	1
1	s	coltello	knife	n	tool	serve_per_tagliare	tagliare	to_cut	eve	eve	p	2
1	s	coltello	knife	n	tool	ha_una_lama	lama	blade	mer	par	p	3
1	s	coltello	knife	n	tool	ha_un_manico	manico	handle	mer	par	p	4
1	s	coltello	knife	n	tool	è_seghettato	seghettato	serrate	ppe	ppe	p	5
1	s	coltello	knife	n	tool	è_liscio	liscio	smooth	ppe	ppe	p	6
1	s	coltello	knife	n	tool	(è_molto_)lungo	lungo	long	ppe	ppe	p	7
1	s	coltello	knife	n	tool	è_piccolo	piccolo	small	ppe	ppe	p	8
1	s	coltello	knife	n	tool	ferisce	ferire	to_hurt	eve	eve	p	9
1	s	coltello	knife	n	tool	è_pericoloso	pericoloso	dangerous	pnp	pnp	p	10
1	s	coltello	knife	n	tool	è_un'arma	arma	weapon	isa	isa	p	11
1	s	coltello	knife	n	tool	si_usa_in_cucina	cucina	kitchen	spa	spa	p	12
1	s	coltello	knife	n	tool	si_trova_nel_cassetto_delle_posate	cassetto_delle_posate	cutlery_drawer	spa	spa	p	13
1	s	credere	to_believe	v	abs_event	è_prendere	prendere	to_take	eve	eve	p	1
1	s	credere	to_believe	v	abs_event	per_buono	per_buono	for_good	man	man	p	2
1	s	credere	to_believe	v	abs_event	(è_prendere_per_buono)_ciò_che_ci_viene_detto	ciò_che_viene_detto	what_we_are_told	eab	eab	p	3
1	s	credere	to_believe	v	abs_event	si_fa_con_una_persona	persona	person	eco	eco	p	4
1	s	credere	to_believe	v	abs_event	fidata	fidato	reliable	pnp	pnp	p	5
1	s	democrazia	democracy	n	ideal	riguarda_gli_stati	stato	state	eab	eab	p	1
1	s	democrazia	democracy	n	ideal	significa_uguaglianza	uguaglianza	equality	syn	tax	p	2
1	s	democrazia	democracy	n	ideal	(significa_uguaglianza)_del_popolo	popolo	people	eab	eab	p	3
1	s	democrazia	democracy	n	ideal	tutti_sono_uguali	essere_uguale	to_be_equal	eve	eve	p	4
1	s	dubitare	to_doubt	v	abs_event	è_un'azione	azione	action	isa	isa	p	1
1	s	dubitare	to_doubt	v	abs_event	si_fa_quando_non_ci_si_fida	non_fidarsi	not_to_trust	eve	eve	n	2
1	s	dubitare	to_doubt	v	abs_event	(si_fa_quando_non_ci_si_fida)_di_qualcuno	qualcuno	someone	eco	eco	p	3
1	s	dubitare	to_doubt	v	abs_event	si_fa_quando_non_si_è_sicuri	non_sicuro	not_sure	pnp	pnp	n	4
1	s	dubitare	to_doubt	v	abs_event	si_fa_rispetto_ad_altri	altra_persona	other_person	eco	eco	p	5
