Word,te horen,te proeven,te ruiken,te voelen door middel van aanraking,te zien,Count,PropResponses,Dominant,Sum,ModalityExclusivity
WALNOOT,0.2,4.133333333,1.266666667,2.333333333,3.333333333,15,1,proeven,11.26666667,0.349112426
BRIE,0,4.625,3.6875,2.25,3.6875,16,1,proeven,14.25,0.324561404
KOMKOMMER,0.266666667,4.4,1.666666667,2.2,3,15,1,proeven,11.53333333,0.358381503
LYCHEE,0.066666667,4.066666667,2.4,2.2,3.466666667,15,0.9375,proeven,12.2,0.327868852
FRAMBOOS,0,4.4,2,2.2,3.8,15,1,proeven,12.4,0.35483871
KAUWGOM,1.266666667,4.266666667,2.333333333,2.133333333,2.866666667,15,1,proeven,12.86666667,0.233160622
POPCORN,1.133333333,4.266666667,3.8,2.133333333,3.466666667,15,0.9375,proeven,14.8,0.211711712
MANGO,0.133333333,4.733333333,3.2,2.133333333,3.6,15,1,proeven,13.8,0.333333333
ABRIKOOS,0.066666667,4.266666667,2.866666667,2.133333333,3.666666667,15,1,proeven,13,0.323076923
KERS,0.066666667,4.733333333,2.2,2.133333333,3.666666667,15,1,proeven,12.8,0.364583333
OLIJF,0.066666667,4.666666667,2.8,2.133333333,3.466666667,15,0.9375,proeven,13.13333333,0.350253807
AMANDEL,0.066666667,4.533333333,1.8,2.133333333,2.933333333,15,1,proeven,11.46666667,0.389534884
ANANAS,0,4.6,3.533333333,2.133333333,3.733333333,15,0.9375,proeven,14,0.328571429
AUBERGINE,0,4.4,1.266666667,2.133333333,3.666666667,15,1,proeven,11.46666667,0.38372093
CHAMPIGNON,0,3.933333333,1.866666667,2.066666667,3.8,15,1,proeven,11.66666667,0.337142857
AVOCADO,0.2,4.266666667,1.533333333,2,3.2,15,1,proeven,11.2,0.363095238
WORTEL,0.8,4.466666667,1.2,1.933333333,3.933333333,15,1,proeven,12.33333333,0.297297297
ROZIJNEN,0,4.333333333,1.733333333,1.933333333,2.8,15,1,proeven,10.8,0.401234568
TOMAAT,0.066666667,4.533333333,2,1.866666667,3.8,15,1,proeven,12.26666667,0.364130435
BROCCOLI,0,3.866666667,1.666666667,1.866666667,3.666666667,15,1,proeven,11.06666667,0.34939759
DROP,0,3.733333333,1.533333333,1.866666667,3.266666667,15,1,proeven,10.4,0.358974359
UI,0.125,4.5625,4,1.8125,3.0625,16,1,proeven,13.5625,0.32718894
CASHEW,0.333333333,4.266666667,1.2,1.8,3.533333333,15,1,proeven,11.13333333,0.353293413
KIWI,0.066666667,4.4,1.733333333,1.8,3.4,15,1,proeven,11.4,0.380116959
HAZELNOOT,0.066666667,4.333333333,1.466666667,1.733333333,3.466666667,15,1,proeven,11.06666667,0.385542169
CITROEN,0,4.533333333,2.866666667,1.733333333,3.466666667,15,1,proeven,12.6,0.35978836
DRUIF,0,4.533333333,1.933333333,1.733333333,3.333333333,15,0.9375,proeven,11.53333333,0.393063584
ZALM,0,4.625,3.8125,1.6875,3.6875,16,1,proeven,13.8125,0.334841629
CHOCOLADE,0.333333333,4.666666667,2.466666667,1.666666667,3.533333333,15,1,proeven,12.66666667,0.342105263
PAPRIKA,0.2,4.333333333,1.8,1.666666667,3.533333333,15,1,proeven,11.53333333,0.358381503
BROOD,0.133333333,4.733333333,3.2,1.666666667,3.266666667,15,1,proeven,13,0.353846154
BLOEMKOOL,0,4.133333333,2.8,1.666666667,3.4,15,0.9375,proeven,12,0.344444444
KARAMEL,0.125,4.8125,3.875,1.625,3.1875,16,1,proeven,13.625,0.344036697
MELOEN,0.133333333,4.133333333,2.6,1.6,3.4,15,1,proeven,11.86666667,0.337078652
TANDPASTA,0,4.266666667,2.066666667,1.6,3.066666667,15,1,proeven,11,0.387878788
STROOP,0,4.133333333,2.4,1.6,2.733333333,15,0.9375,proeven,10.86666667,0.380368098
KAAS,0.133333333,4.733333333,2.2,1.533333333,3.4,15,1,proeven,12,0.383333333
VENKEL,0,4,3.333333333,1.533333333,3.333333333,15,0.9375,proeven,12.2,0.327868852
SIROOP,0.125,4.1875,3.375,1.5,3.25,16,1,proeven,12.4375,0.326633166
KNOFLOOK,0,4.4375,4.3125,1.5,3,16,1,proeven,13.25,0.33490566
AALBES,0.071428571,3.642857143,1.642857143,1.428571429,2.642857143,14,0.933333333,proeven,9.428571429,0.378787879
PRUIM,0,3.866666667,2.466666667,1.4,3.333333333,15,0.9375,proeven,11.06666667,0.34939759
GEMBER,0,4.375,3.4375,1.375,2.625,16,1,proeven,11.8125,0.37037037
ZOETHOUT,0.066666667,3.866666667,2.266666667,1.333333333,3.266666667,15,1,proeven,10.8,0.351851852
KIKKERERWTEN,0,3.8,1.6,1.333333333,3.4,15,1,proeven,10.13333333,0.375
PETERSELIE,0,3.8,3.4,1.333333333,3,15,0.9375,proeven,11.53333333,0.329479769
BASILICUM,0.2,4.466666667,3.666666667,1.266666667,3.133333333,15,1,proeven,12.73333333,0.335078534
GEITENKAAS,0.066666667,4.266666667,3.066666667,1.266666667,3.066666667,15,1,proeven,11.73333333,0.357954545
KORIANDER,0,4.133333333,3.133333333,1.266666667,3.133333333,15,0.9375,proeven,11.66666667,0.354285714
PINDAKAAS,0,4.5625,3.9375,1.25,3,16,1,proeven,12.75,0.357843137
