Item#,Property,Concept1,Concept2,N_Subjects1,N_Subjects2,Familiarity1,Familiarity2,MeanAud1,MeanGus1,MeanHap1,MeanOlf1,MeanVis1,MeanAud2,MeanGus2,MeanHap2,MeanOlf2,MeanVis2,Cosine,Angle,DomMod1,Exclusivity1,DomMod2,Exclusivity2,DomModDistribution,MeanAudLC,MeanGusLC,MeanHapLC,MeanOlfLC,MeanVisLC,DomModLC,ExclusivityLC
26,blaring,loudspeaker,saxophone,43,43,1.00,0.98,4.98,0.00,1.79,0.00,1.35,5.00,0.00,1.02,0.00,2.38,0.97,0.23,auditory,0.61,auditory,0.59,unidominant,4.50,0.20,0.45,0.20,1.30,Auditory,0.65
27,bleating,goat,protestor,40,41,0.93,0.80,4.00,0.11,0.38,0.22,2.84,4.55,0.00,0.12,0.06,3.94,0.99,0.12,auditory,0.52,auditory,0.52,unidominant,,,,,,,
28,bleeping,cash register,cell phone,43,42,0.96,0.98,4.86,0.00,0.81,0.00,2.51,4.76,0.07,1.15,0.02,2.90,1.00,0.09,auditory,0.59,auditory,0.53,unidominant,4.95,0.10,0.19,0.14,1.67,Auditory,0.69
29,bloody,bandage,nose,40,42,1.00,1.00,0.20,1.00,2.40,1.93,5.00,0.33,1.81,3.05,1.90,4.86,0.99,0.16,visual,0.46,visual,0.38,unidominant,0.70,1.29,1.86,1.14,4.71,Visual,0.41
30,blotchy,face,painting,43,40,1.00,0.96,0.05,0.09,2.14,0.09,4.86,0.08,0.00,2.49,0.00,4.79,1.00,0.07,visual,0.67,visual,0.65,unidominant,0.43,0.38,1.67,0.24,4.62,Visual,0.60
31,blue,kingfisher,sky,43,43,0.95,1.00,0.15,0.10,0.10,0.00,4.73,0.19,0.05,0.02,0.21,5.00,1.00,0.05,visual,0.93,visual,0.91,unidominant,0.76,0.00,0.24,0.19,4.76,Visual,0.80
32,blunt,needle,sword,41,40,0.98,0.99,0.13,0.10,4.58,0.05,3.50,0.77,0.26,4.55,0.18,4.08,0.99,0.13,haptic,0.54,haptic,0.44,unidominant,0.90,0.25,4.71,0.19,4.57,Haptic,0.43
33,boiling,kettle,soup,43,42,1.00,0.98,4.60,0.51,2.51,1.14,4.49,3.68,2.63,3.49,1.80,4.85,0.94,0.35,auditory,0.31,visual,0.19,bidominant,2.76,2.10,4.05,1.00,4.43,Visual,0.24
34,booming,bass drum,fireworks,42,40,1.00,1.00,4.83,0.24,2.31,0.31,2.64,4.85,0.13,0.80,1.28,4.40,0.93,0.38,auditory,0.44,auditory,0.41,unidominant,4.57,0.10,0.95,0.10,2.10,Auditory,0.57
35,bouncy,mattress,tennis ball,43,40,1.00,0.99,1.77,0.00,4.84,0.05,3.49,2.85,0.03,3.00,0.10,4.68,0.92,0.39,haptic,0.48,visual,0.44,bidominant,2.00,0.00,3.67,0.00,3.57,Haptic,0.40
36,branching,bush,river,43,43,0.95,0.98,0.46,0.00,2.83,0.10,4.61,1.98,0.05,0.76,0.14,4.64,0.88,0.49,visual,0.58,visual,0.61,unidominant,1.20,0.05,2.45,0.10,4.10,Visual,0.51
37,braying,donkey,school mistress,40,41,0.91,0.63,3.69,0.06,0.94,0.51,3.61,2.77,0.00,0.00,0.12,2.73,0.98,0.19,auditory,0.41,auditory,0.49,unidominant,,,,,,,
38,breakable,ankle,vase,43,42,1.00,0.98,1.37,0.00,3.51,0.05,3.53,1.83,0.05,3.78,0.10,4.12,1.00,0.06,visual,0.42,visual,0.41,unidominant,2.10,0.10,4.24,0.10,4.29,Visual,0.39
