Item#,Property,Concept1,Concept2,N_Subjects1,N_Subjects2,Familiarity1,Familiarity2,MeanAud1,MeanGus1,MeanHap1,MeanOlf1,MeanVis1,MeanAud2,MeanGus2,MeanHap2,MeanOlf2,MeanVis2,Cosine,Angle,DomMod1,Exclusivity1,DomMod2,Exclusivity2,DomModDistribution,MeanAudLC,MeanGusLC,MeanHapLC,MeanOlfLC,MeanVisLC,DomModLC,ExclusivityLC
104,dank,basement,environment,40,42,0.85,0.91,0.88,0.44,1.65,2.68,3.53,0.87,0.36,1.89,2.63,3.61,1.00,0.05,visual,0.34,visual,0.35,unidominant,0.87,0.73,1.18,2.80,3.47,Visual,0.30
105,dappled,shade,sunlight,43,40,0.65,0.64,0.39,0.29,0.96,0.11,4.43,0.20,0.04,1.19,0.12,4.50,1.00,0.08,visual,0.70,visual,0.74,unidominant,0.57,0.21,1.86,0.29,4.00,Visual,0.55
106,dark,chocolate,dungeon,43,43,1.00,1.00,0.02,4.02,0.19,2.40,4.56,0.42,0.14,0.56,0.33,4.98,0.73,0.75,visual,0.41,visual,0.75,unidominant,0.71,0.52,0.19,0.19,4.43,Visual,0.70
107,dazzling,headlight,performance,41,40,1.00,1.00,0.20,0.00,0.24,0.02,4.78,3.60,0.03,0.73,0.28,4.78,0.82,0.61,visual,0.91,visual,0.51,unidominant,0.62,0.10,0.38,0.24,4.90,Visual,0.77
108,dead,bird,silence,42,43,0.98,0.98,1.12,0.51,2.34,2.56,4.90,4.36,0.02,0.60,0.24,1.67,0.52,1.02,visual,0.38,auditory,0.63,bidominant,1.38,0.24,2.43,2.33,4.10,Visual,0.37
109,deafening,battle cry,roar,42,40,1.00,0.98,4.52,0.14,0.43,0.17,2.40,5.00,0.00,0.62,0.08,1.23,0.97,0.25,auditory,0.57,auditory,0.72,unidominant,5.00,0.05,0.19,0.00,1.24,Auditory,0.77
110,deep,color,well,40,43,0.96,1.00,0.08,0.00,0.24,0.05,4.90,2.86,0.09,1.67,0.30,4.58,0.83,0.59,visual,0.93,visual,0.47,unidominant,2.10,0.29,3.62,0.38,4.43,Visual,0.38
111,delicious,dessert,perfume,43,43,1.00,1.00,0.35,4.98,0.72,3.60,3.40,0.19,1.23,0.14,4.56,0.60,0.74,0.74,gustatory,0.35,olfactory,0.66,bidominant,1.33,4.71,1.33,4.19,3.38,Gustatory,0.23
112,dim,memory,twilight,43,43,0.98,1.00,1.57,0.71,0.95,0.86,2.36,0.28,0.00,0.02,0.02,4.84,0.77,0.69,visual,0.25,visual,0.94,unidominant,0.81,0.25,0.10,0.19,4.33,Visual,0.75
113,dirty,hands,sheets,42,43,0.98,1.00,0.20,1.46,3.85,3.24,4.41,0.19,0.33,3.23,3.40,4.56,0.98,0.19,visual,0.32,visual,0.37,unidominant,0.48,1.29,2.71,3.52,4.81,Visual,0.34
114,downy,baby's head,chick,42,40,0.76,0.68,0.41,0.19,3.47,0.50,3.59,1.11,0.14,2.70,0.30,3.93,0.98,0.22,visual,0.42,visual,0.46,unidominant,0.13,0.13,2.75,0.00,3.33,Visual,0.52
115,drab,curtains,social occasion,40,43,0.93,0.96,0.57,0.05,2.14,0.41,4.63,3.41,0.05,0.37,0.40,4.41,0.81,0.63,visual,0.59,visual,0.50,unidominant,1.26,1.37,1.11,0.74,4.11,Visual,0.39
116,dry,biscuit,riverbed,43,43,1.00,0.98,0.30,4.91,3.58,0.84,3.00,1.69,0.33,3.00,0.74,4.57,0.69,0.81,gustatory,0.36,visual,0.41,bidominant,0.33,2.52,4.29,0.43,3.57,Haptic,0.35
117,dull,sky,thud,40,41,1.00,0.98,0.50,0.10,0.28,0.38,4.88,3.70,0.00,1.20,0.05,1.70,0.50,1.05,visual,0.78,auditory,0.56,bidominant,2.33,1.24,0.57,1.19,4.29,Visual,0.39
118,dusty,plains,window-sill,43,42,0.95,0.98,0.93,1.05,3.00,2.27,4.68,0.20,0.37,4.07,0.90,4.73,0.95,0.32,visual,0.31,visual,0.44,unidominant,0.05,0.38,3.38,1.19,4.29,Visual,0.46
