"Ita_Word" "Eng_Word" "length" "WordClass" "ldt_acc" "ldt_rt" "nt_acc" "nt_rt" "ldt_rt_z" "nt_rt_z" "Auditory" "Gustatory" "Haptic" "Olfactory" "Visual" "mod_e" "mod_exc" "max" "min" "mean" "mag" "mink"
"abbaglio" "dazzle" 8 "n" 0.933333333333333 662.392857142857 1 522.5 0.257132203382036 -0.288346296355136 0.53 0.04 0.11 0.11 4.53 "v" 84.3984962406015 4.53 0.04 1.064 4.56372654746097 4.53246124131703
"abbandonato" "derelict" 11 "a" 1 650.566666666667 1 531.518518518518 0.130041193873318 -0.115188713015929 1.53 0.23 0.91 0.63 4.16 "v" 52.6809651474531 4.16 0.23 1.492 4.57431962153936 4.24673166023236
"abbondanza" "abundance" 10 "n" 0.966666666666667 643.551724137931 1 516.166666666667 0.149153722564787 -0.404620790868648 1.32 1.37 2.42 1.02 4.26 "v" 31.1838306063523 4.26 1.02 2.078 5.3538490826694 4.60122514626009
"abbraccio" "hug" 9 "n" 1 599.7 1 504.793103448276 -0.278936619267842 -0.4020648501177 1.09 0.11 4.67 1.37 4.23 "h" 39.7558849171752 4.67 0.11 2.294 6.54055808016411 5.66084005519635
"abete" "fir" 5 "n" 0.933333333333333 603.035714285714 1 470.888888888889 -0.0502188237091918 -0.680027796380204 0.81 0.21 3.56 3.09 4.81 "v" 36.8589743589744 4.81 0.21 2.496 6.786604452891 5.71283644448787
"abitante" "inhabitant" 8 "n" 0.9 632.185185185185 1 508.666666666667 0.0855956682289811 -0.3719559212559 2.25 0.02 1.32 0.58 3.75 "v" 47.0959595959596 3.75 0.02 1.584 4.60480184155627 4.05385677416942
"abitazione" "house" 10 "n" 0.966666666666667 666.931034482759 1 528.785714285714 0.303880542131568 -0.257800328528173 1.56 0.21 2.6 1.7 4.75 "v" 41.9593345656192 4.75 0.21 2.164 5.88983870746899 5.11043042829128
"abito" "dress" 5 "n" 0.966666666666667 530.344827586207 1 488.428571428571 -0.568176249608563 -0.575291439273657 0.4 0.02 4.37 0.86 4.86 "v" 46.0513796384396 4.86 0.02 2.102 6.60427891597561 5.83773232663473
"abitudini" "habit" 9 "n" 0.966666666666667 676.758620689655 1 491.961538461538 0.304422313674264 -0.578589370579087 2.19 1.18 1.25 1.12 2.93 "v" 20.876585928489 2.93 1.12 1.734 4.19407915995872 3.43861121716444
"aborto" "abortion" 6 "n" 1 612.6 1 528.178571428571 0.0640825179134765 -0.148521574858484 1.72 0.09 1.04 0.42 2.96 "v" 46.0674157303371 2.96 0.09 1.246 3.60362317674865 3.18214222834512
"abuso" "abuse" 5 "n" 0.933333333333333 593.714285714286 1 471.444444444444 -0.120547120071286 -0.66676659895732 3.19 0.35 2.07 0.44 3.77 "v" 34.826883910387 3.77 0.35 1.964 5.38423625038872 4.56357806913208
"accettazione" "acceptance" 12 "n" 0.933333333333333 704.107142857143 1 505.37037037037 0.403598031256912 -0.471734812785049 2.75 0.12 0.68 0.2 3.02 "v" 42.8360413589365 3.02 0.12 1.354 4.14725210229617 3.6509384713879
"accogliente" "cozy" 11 "a" 1 700.9 1 524.185185185185 0.363905060150779 -0.143750357757982 3.09 0.7 1.98 1.68 4.02 "v" 28.9450741063644 4.02 0.7 2.294 5.73945119327623 4.7521203608268
"accomodante" "easygoing" 11 "a" 0.966666666666667 692.48275862069 1 578.461538461538 0.41198896072014 0.224022747196123 2.73 0.21 1.02 0.32 3.2 "v" 39.9732620320856 3.2 0.21 1.496 4.34508918205369 3.7848346171544
"accordo" "agreement" 7 "n" 0.966666666666667 565.448275862069 1 510.518518518519 -0.357211774895045 -0.257226161313708 3.63 0.23 1.05 0.16 2.82 "a" 43.979721166033 3.63 0.16 1.578 4.72337802848766 4.14919523757432
"acqua" "water" 5 "n" 1 542.833333333333 0.964285714285714 481.518518518519 -0.665143373728139 -0.624044541160782 3.26 3.82 3.98 0.56 4.72 "v" 25.4589963280294 4.72 0.56 3.268 7.97824542114367 6.37236949014436
"adorabile" "adorable" 9 "a" 0.933333333333333 707.392857142857 1 554.892857142857 0.471720960491289 0.133353865684066 3.02 1.23 1.91 1.46 4.19 "v" 25.0635055038103 4.19 1.23 2.362 5.82830163941435 4.83522325720874
"adulto" "adult" 6 "a" 1 571.633333333333 1 443.821428571429 -0.508943984005635 -1.00026450267654 3.4 0.28 1.86 0.93 4.47 "v" 38.2998171846435 4.47 0.28 2.188 5.99531483743765 5.14104754396658
"aereo" "plane" 5 "a" 0.8 690.833333333333 1 531.392857142857 0.389228317301071 -0.0830289217618734 3.91 0.11 1.88 0.96 4.65 "v" 39.4439617723718 4.65 0.11 2.302 6.43262776787216 5.51622574867204
"affamato" "hungry" 8 "a" 0.966666666666667 669.965517241379 1 494.586206896552 0.257388779576447 -0.47364716009167 2.53 1.02 0.88 0.41 3.56 "v" 37.5 3.56 0.41 1.68 4.58883427462793 3.98166386665475
"affascinare" "fascinate" 11 "v" 0.9 662.259259259259 1 523 0.199485521157692 -0.338173776287407 3.04 0.82 1.09 1.51 3.79 "v" 28.9756097560976 3.79 0.82 2.05 5.26747567626088 4.44498869443843
"affaticato" "fatigued" 10 "a" 0.966666666666667 672.931034482759 1 589.551724137931 0.324970301802697 0.357688772833554 3.21 0.12 1.12 0.35 4.18 "v" 45.2115812917595 4.18 0.12 1.796 5.40072217393193 4.75573193907497
"affetto" "affection" 7 "n" 0.966666666666667 650.896551724138 1 518.555555555556 0.0602652945459757 -0.276634195129456 3.36 0.71 2.82 0.86 3.57 "v" 25.2650176678445 3.57 0.71 2.264 5.76459885855035 4.74527077224067
"afflizione" "grief" 10 "n" 0.733333333333333 743.636363636364 1 645.5 0.681088617133347 0.456786277664299 2.72 0.02 0.68 0.13 3.23 "v" 47.3451327433628 3.23 0.02 1.356 4.27913542669544 3.78299306627316
"affogare" "drown" 8 "v" 1 643.433333333333 1 510.592592592593 0.0330549317556259 -0.248752511945836 2.75 0.77 2 0.66 3.89 "v" 32.0754716981132 3.89 0.66 2.014 5.26527302236076 4.45476950222918
"aggressione" "assault" 11 "n" 0.966666666666667 600.655172413793 1 520.538461538462 -0.0394545041870396 -0.258107483560497 3.79 0.19 2.56 0.33 4.26 "v" 36.5678346810422 4.26 0.19 2.226 6.26181283655141 5.29633931386199
"aggressivo" "aggressive" 10 "a" 1 616.1 1 509.925925925926 -0.209024797165026 -0.220169038841232 3.95 0.7 2.11 0.88 4.19 "v" 29.5012679628064 4.19 0.7 2.366 6.2349899759342 5.26092463757879
