WORD,Transliteration,English_Translation,Category,Abstractness,Length,Gender,Fr_obj_Lg,Vis_Mean,Vis_SD,Aud_Mean,Aud_SD,Olf_Mean,Olf_SD,Gus_Mean,Gus_SD,Hap_Mean,Hap_SD,Img_Mean,Img_SD,Man_Mean,Man_SD,Space17_Mean,Space17_SD,AoA_Mean,AoA_SD,Fr_Mean,Fr_SD
_______,taktika,tactics,Intelligence,abstract,7,f,1.3,2.93,1.53,2.11,1.63,1.3,0.84,1.27,0.87,1.66,1.26,3.71,2.11,2.65,1.98,4.66,1.6,9.63,2.4,4.14,1.96
____,tank,tank,Transport,concrete,4,m,1.7,4.52,2.13,4.34,2.18,2,1.36,1.45,1.18,3.55,2.28,6.69,1.17,5.1,2.37,2.91,1.55,5.07,2.07,2.97,1.99
_______,tapochka,slipper,Clothes,concrete,7,f,1,4.71,2.27,1.64,0.99,1.87,1.22,1.11,0.42,4.77,2.08,6.36,1.39,3.83,2.04,2.06,1,5.59,3.25,3.62,2.33
_______,tarakan,cockroach,Animal,concrete,7,m,1.1,4.07,2.32,1.24,0.69,1.76,1.24,2.24,1.95,3.76,2.29,6.93,0.26,2.33,1.94,2.06,1.6,4.47,1.66,3.79,1.9
_______,tarelka,plate,Tool_power_grip,concrete,7,f,1.6,4.83,1.98,2.46,1.67,2.54,1.68,3,1.85,5.07,1.59,6.86,0.44,6.46,1.26,3.38,1.07,2.81,1.83,6.53,0.97
_________,tverdost,hardness,Sense_Phys,abstract,9,f,0.9,2.31,2.14,1.86,1.72,1.19,0.63,1.68,1.49,4.78,1.8,3.48,1.86,2.59,2.27,2.72,1.51,5.73,2.89,4.1,1.63
_______,telezhka,small cart,Transport,concrete,7,f,1.1,4.17,2.41,3.37,2.24,1.48,1.02,1.39,0.99,4.28,1.93,5.7,1.44,6.09,1.3,2.54,1.46,5.03,1.99,2.96,1.75
_______,telefon,phone,Tool_precise_grip,concrete,7,m,2.2,4.53,2.64,5.3,1.91,1.83,1.83,1.89,1.89,5.83,1.87,6.22,1.22,6.59,1.13,2.92,1.46,4.23,2.21,6.79,0.57
______,teoriya,theory,Intelligence,abstract,6,f,2.1,2,1.41,1.9,1.97,1.41,1.02,1.41,1.21,1.5,1.35,2.59,1.78,1.97,1.61,4.94,1.8,10.27,3.22,5.53,1.48
________,teplohod,motor ship,Transport,concrete,8,m,1,4.57,2.25,4.07,2.16,1.92,1.23,1.29,1.01,2.85,2.27,5.9,1.4,5.11,2.12,3.13,1.72,6.42,3,2.33,1.42
____,tigr,tiger,Animal,concrete,4,m,1.2,5.84,1.65,5.3,1.73,2.83,2,1.55,0.91,4.07,2.43,6.89,0.42,2.06,1.73,2.53,1.28,3.33,1.65,3.93,1.89
___,ton,tone,Sound,concrete,3,m,1.9,2.07,1.68,3.53,2.5,1,0,1.39,1.2,1.62,1.4,2.42,1.53,1.69,1.28,4,1.91,7.63,2.88,4.14,2.03
_____,topor,axe,Tool_power_grip,concrete,5,m,1.4,4.75,2.46,4.07,2.42,2.14,1.98,1.45,0.86,4.82,2.34,6.93,0.26,6.42,1.36,2.68,1.34,4.55,2.63,3.5,1.85
_____,toska,yearning,Sense_Emotion,abstract,5,f,1.7,2.46,1.9,1.69,1.37,1.55,1.06,1.61,1.54,1.69,1.37,3.66,1.82,1.67,1.18,3.45,2,8.13,3.1,4.59,1.96
_______,tochilka,pencil sharpener,Tool_precise_grip,concrete,7,f,0,3.21,2.27,3.66,1.93,2.03,1.5,1.24,0.79,4.97,2.4,6.22,1.25,6.41,1.02,2.69,1.53,6.26,1.75,3.79,2.36
_______,toshnota,nausea,Sense_Phys,abstract,7,f,0.9,2.03,1.4,2.29,1.61,3.8,1.81,3.54,2.02,2.92,2,4.11,1.77,1.83,1.26,2.64,1.56,6.27,2.36,4.15,2.07
_____,trava,grass,Ground,concrete,5,f,2,5.07,2.21,2.27,1.74,5.38,2.06,3.75,1.94,5.45,1.7,6.52,0.85,3.88,2.17,1.95,1.81,3.33,1.79,4.46,2.06
_______,tramvay,tram,Transport,concrete,7,m,1.5,4.17,2.16,3.66,1.74,3.14,2.13,1.64,1.34,4,2.12,6.83,0.47,4.9,2.35,3.27,1.81,5.73,2.49,4.38,1.99
_______,trevoga,anxiety,Sense_Emotion,abstract,7,f,1.7,2.7,2.07,3.33,2.5,1.34,1.08,1.86,1.67,1.93,1.73,2.84,1.57,2,1.61,3.73,1.94,6.63,2.87,4.43,1.95
__________,trolleybus,trolleybus,Transport,concrete,10,m,1.2,4.52,2.15,3.45,1.92,2.59,1.76,1.52,1.03,4,2.02,6.69,0.93,4.8,2.31,3.48,1.77,6.13,2.36,4.79,1.78
_______,trotuar,sidewalk,Ground,concrete,7,m,1.4,4.97,2.25,2.07,1.65,2.5,1.8,1.45,1.01,3.54,2.19,6.43,0.74,3.19,2.44,1.65,1.12,5.77,2.03,4.5,1.81
_____,tuflya,shoe,Clothes,concrete,5,f,1.4,4.31,2.19,2.97,2.08,2.34,1.65,1.62,1.21,5.21,1.98,6.8,0.55,4.3,2.22,1.94,1.32,3.8,1.95,4.47,1.74
____,tucha,cloud,Space,concrete,4,f,1.4,4.66,1.93,2.66,1.99,2.24,1.64,1.38,1.08,1.76,1.53,6.78,0.51,2.66,2.48,6.41,1.46,3.37,2.1,4.43,1.85
_____,tyikva,pumpkin,Food,concrete,5,f,0.8,3.86,2.12,1.93,1.72,4.93,2.17,5.1,2.01,4.21,2.23,6.87,0.43,3.9,1.81,2.21,1.22,4.57,1.96,2.83,1.46
____,tyaga,draught,Action,abstract,4,f,1.2,2.21,1.54,1.62,1.21,1.17,0.47,1.45,1.12,2.38,1.68,3.11,2.11,3.23,2.28,3.33,2.04,9.77,3.37,3.21,2.02
__________,uglublenie,cavity,Ground,concrete,10,n,1,3.32,2.09,1.43,1.07,1.27,0.94,1.37,1.08,2.54,1.98,4.32,2,3.8,2.12,1.85,1.6,7.67,2.68,3.96,1.84
________,ugolnik,set square,Tool_precise_grip,concrete,8,m,0,4.23,2.51,1.5,0.96,1.35,0.85,1.07,0.26,3.3,2.09,4.93,2.05,5.27,2.16,3.28,1.59,7.91,2.73,1.93,1.17
____,udar,blow,Action,abstract,4,m,2.2,3.38,2.04,4.89,2.02,1.9,1.63,1.82,1.53,5.32,2.29,5.25,1.51,5.81,1.7,3.47,1.58,4.07,1.7,5.03,1.9
________,udarenie,emphasis,Sound,concrete,8,n,0.8,2.48,1.86,4.68,2.2,1.24,0.69,1.07,0.26,1.79,1.82,3.16,1.57,2,1.65,3.19,1.74,6.78,1.63,5,1.91
_________,udivlenie,surprise,Sense_Emotion,abstract,9,n,1.8,3.47,2.12,2.57,2.03,1.96,1.64,2.32,1.99,1.89,1.99,4.42,1.6,2.48,1.9,4.68,1.57,5.5,2.26,5.43,1.74
____________,udovolstvie,pleasure,Sense_Emotion,abstract,12,n,2.1,2.94,1.98,2.22,1.65,3.17,2.05,4.05,2.46,3.68,2.68,4.79,1.5,2.65,2.03,5.03,1.4,6.33,2.81,5.97,1.3
_____,ukrop,dill,Food,concrete,5,m,0.7,3.45,2.01,1.48,1.55,5.46,1.75,5.38,2.04,4.45,2.37,6.89,0.32,4.93,2.3,1.84,1.32,4.52,2.34,4.11,1.79
______,umenie,skill,Intelligence,abstract,6,n,1.6,2.53,2,2.41,1.65,1.4,0.89,1.57,1.61,2.21,1.7,3.9,1.65,4.74,2.46,4.59,1.76,6.78,2.75,5.66,1.47
______,unyinie,despondency,Sense_Emotion,abstract,6,n,0.8,2.52,1.66,2.13,1.59,1.62,1.68,1.76,1.41,1.21,0.59,3.14,2.1,1.9,1.92,3.18,2.05,8.07,3.36,4.17,1.74
____,urna,urn,Object,concrete,4,f,0.9,4.34,2.33,2.24,1.77,3.72,2.15,1.34,1.17,3.69,2.33,6.33,1.39,4.48,2.18,2,1.19,6.44,2.93,4.54,1.77
____,utka,duck,Animal,concrete,4,f,1.1,3.86,2.12,4.1,2.21,2.24,1.48,4,2.42,3.59,2.29,6.85,0.46,3.59,2.23,3.13,1.96,3.07,1.66,3.14,1.53
___,uho,ear,Body_Part,concrete,3,n,2.1,3.07,2.19,6.07,1.75,1.97,1.76,2.09,1.88,4.03,2.35,6.62,1.05,3.1,2.17,3.85,1.8,2.93,1.34,4.69,1.44
____,uhod,care,Action,abstract,4,m,1.7,2.76,1.79,1.8,1.3,1.41,1.3,1.66,1.49,1.46,1.06,3.13,1.48,4,2.32,3.18,1.78,6.13,2.94,4.38,1.72
____,fakt,fact,Intelligence,abstract,4,m,2.2,2.63,1.98,1.64,1.45,1.55,1.09,1.32,0.84,1.75,1.43,3.04,1.6,1.42,0.81,3.65,1.63,7.6,2.77,5.73,1.6
______,faktor,factor,Intelligence,abstract,6,m,2,1.79,1.63,1.41,1.21,1.28,1,1.41,1.27,1.34,0.77,2.41,1.65,1.76,1.46,3.84,1.8,9.44,3.41,4.71,1.78
________,fantaziya,fantasy,Intelligence,abstract,8,f,1.5,3.52,2.43,1.93,1.74,1.77,1.68,2.19,1.82,1.62,1.27,3.34,1.93,1.9,1.71,5.67,1.88,6.4,2.33,5.31,1.89
_________,feyerverk,fireworks,Space,concrete,9,m,0.8,5.72,1.51,5.14,1.88,3.14,2.18,1.55,1.28,2.1,1.52,6.93,0.26,4.97,2.03,5.15,1.84,6.3,2.37,2.93,1.44
____,flag,flag,Object,concrete,4,m,1.5,4.45,2.16,2.5,1.87,1.55,1.43,1.62,1.24,3.21,2.13,6.63,1.03,3.5,2.26,5.12,1.54,4.87,2.15,4.2,1.88
________,flamingo,flamingo,Animal,concrete,8,m,0.2,4.24,2.17,2.1,1.73,2.48,1.82,1.45,0.74,2.88,2.13,6.53,0.86,1.97,1.69,2.67,1.31,6.23,2.65,2.13,1.36
_________,flomaster,soft-tip pen,Tool_precise_grip,concrete,9,m,0.5,5.1,2.26,2.39,1.89,3.27,1.56,2.64,1.75,4.74,1.81,6.59,1.05,6.59,1.01,2.63,1.24,3.38,1.68,4.07,1.86
______,fonar,lantern,Object,concrete,6,m,1.5,5.84,1.63,1.93,1.59,1.31,1.14,1.36,0.66,3,2.39,6.54,1.07,4.9,1.94,4.03,1.99,4.33,2.19,4.67,1.86
_____,forma,form,Sense_Phys,abstract,5,f,2.5,4.59,2.18,1.55,1.21,1.52,0.99,1.64,1.19,3.31,2.32,3.96,1.95,3.43,2.36,3.61,1.92,5.33,2.02,4.41,1.8
________,fortochka,ventlight,Object,concrete,8,f,1,4,2.17,3.07,2.22,2.17,1.81,1.24,1.12,4.24,2.39,6.22,1.53,4.66,2.41,4.22,1.77,4.89,2.41,5.14,1.72
______,frisbi,frisbee,Tool_power_grip,concrete,6,m,0,2.79,2.13,1.47,1.11,1.21,0.57,1.39,0.88,3.91,2.47,3.6,2.59,5.96,1.95,3.22,1.72,10.4,3.65,1.67,1.21
_______,furazhka,peak-cap,Clothes,concrete,7,f,1.2,4.17,2.17,1.7,1.32,2,1.39,1.33,0.76,3.86,2.25,6.41,1.09,5.48,1.57,4.26,1.75,5.93,2.25,2.54,2.06
________,hameleon,chameleon,Animal,concrete,8,m,0.4,5.73,1.78,1.39,1.23,1.73,1.31,1.21,0.96,2.63,2.04,6.48,0.99,2.92,2.57,3.34,1.73,6.04,2.44,1.8,0.96
______,hvatka,grasp,Action,abstract,6,f,0.8,2.53,1.89,1.7,1.3,1.43,1.01,1.33,1.21,4.07,2.4,4.21,1.99,5.74,2.07,3.81,1.73,8.07,3.09,2.76,1.6
_____,holod,cold,Sense_Phys,abstract,5,m,1.7,2.84,2.24,2.04,1.67,2.47,1.36,2.59,1.76,4.46,2.4,4.42,1.6,2.6,2.19,4,2.24,3.23,1.38,6.54,0.81
____,hrip,wheeze,Sound,concrete,4,m,0.7,1.62,1.12,4.55,2.13,1.52,1.27,1.66,1.52,2.21,1.72,2.85,1.61,2.17,1.81,3.03,1.66,6.33,2.62,3.11,1.37
____,tsvet,colour,Sense_Phys,abstract,4,m,2.2,5.59,1.96,1.79,1.37,1.59,1.3,2,1.68,2,1.44,4.97,1.95,1.7,1.26,4.48,2.02,3.5,1.72,5.66,1.52
____,tsel,aim,Intelligence,abstract,4,f,2.5,3.45,2.13,1.7,1.58,1.52,1.48,1.79,1.63,1.42,0.83,3.55,1.96,3.63,2.51,5.21,1.71,8.07,3.69,6.07,1.26
_______,tsirkul,compasses,Tool_precise_grip,concrete,7,m,0.4,4.4,2.06,1.85,1.32,1.37,1.1,1.47,0.94,3.97,2.31,6.66,0.81,6.53,1.22,2.88,1.39,7.78,2.36,2.45,1.62
_____,chayka,gull,Animal,concrete,5,f,1.3,4.97,1.94,5.1,1.83,2.07,1.36,2.32,2.2,3.07,2.05,6.33,0.83,2.03,1.89,5.68,1.72,4.93,1.86,2.71,1.84
______,chervyak,worm,Animal,concrete,6,m,0.7,5.13,2.39,1.54,1.4,2.38,1.68,1.91,1.23,3.86,2.58,6.79,0.5,3,2.18,1.44,1.05,3.6,1.73,2.77,1.83
______,cherdak,attic,Space,concrete,6,m,1.2,3.86,2.13,2.31,2.05,2.79,1.9,1.31,0.85,2.93,2.12,6.48,1.05,3.34,2.26,5.06,1.68,5.33,2.37,2.86,1.41
_____,cherep,skull,Body_Part,concrete,5,m,1.4,4.58,2.26,1.89,1.87,1.27,0.78,1.41,0.8,3.73,2.25,6.45,1.35,2.93,2.21,3,1.92,6.4,2.16,2.58,1.7
________,cherepaha,turtle,Animal,concrete,8,f,0.9,4.87,2.17,1.82,1.61,1.7,1.09,2.19,1.75,4.27,1.93,6.9,0.41,2.67,2.02,2.19,1.09,4.87,2.19,3.04,1.66
_______,chereshnya,cherry,Food,concrete,7,f,0.4,4.37,2.03,1.59,1.53,4,2.1,6.33,1.35,3.21,2.38,6.45,0.91,4.16,2.41,3.53,1.48,5.74,2.64,2.69,1.54
_______,chernika,bilberry,Food,concrete,7,f,0.5,4.48,2.23,1.54,1.53,3.93,1.98,5.59,1.89,4,1.62,6.62,0.86,4.73,2.02,3.06,1.48,5.13,2.64,3.19,1.88
_________,chernosliv,prunes,Food,concrete,9,m,0.4,3.97,2.16,1.44,1.05,4,1.89,5.57,1.79,3.38,2.44,6.59,0.91,4.13,2.54,2.94,1.37,6.33,2.45,2.59,1.38
______,chesnok,garlic,Food,concrete,6,m,1,4.03,2.53,1.33,0.96,5.79,1.59,5.71,1.8,5.34,1.93,6.63,0.63,5.13,1.91,2.03,1.4,4.4,1.98,4.25,1.9
_______,chuvstvo,feeling,Sense_Emotion,abstract,7,n,2.4,2.91,2.31,1.96,1.86,2.86,2.15,3.14,2.49,3.11,2.59,3.96,1.75,2.1,1.96,4.38,1.78,5.93,2.39,6.33,1.03
___,shag,step,Action,abstract,3,m,2.3,3.75,2.02,3.11,2.01,1.45,1.55,1.18,0.85,2.39,2.15,5.5,1.43,2.06,1.57,1.79,1.17,3.37,1.61,5.6,1.69
_____,shayba,washer,Tool_power_grip,concrete,5,f,0.8,4.97,2.36,2.54,1.45,1.47,1.14,1.33,0.78,4,2.33,6.66,0.94,4.5,2.21,2.39,1.43,6.9,1.92,2.12,1.42
_____,shapka,cap,Clothes,concrete,5,f,1.6,4.23,2.4,1.82,1.7,1.88,1.68,1,0,4.52,2.17,6.79,0.56,5.81,1.79,4.34,1.86,2.85,1.71,6.1,1.69
_____,shahta,mine,Building,concrete,5,f,1.3,4.19,2.27,2.57,2.06,3.03,2.06,1.44,0.93,2.46,1.58,6.17,1.31,5.53,1.43,1.3,0.95,6.73,2.36,2.27,1.82
______,shvabra,mop,Tool_power_grip,concrete,6,f,0.6,4.9,2.44,2.29,1.54,2.15,1.16,1.29,0.98,4,1.96,6.38,1.37,6.19,1.54,2.81,1.57,4.96,2.25,3.73,2.1
________,shevelyura,chevelure,Body_Part,concrete,8,f,0.7,4.21,2.44,1.38,0.86,2.62,2.08,1.61,1.43,4.28,2.23,5.82,1.66,4.23,2.06,4.3,1.91,8.8,3.13,1.72,0.92
________,shipovnik,briar,Food,concrete,8,m,0.7,4.23,2.24,1.43,1.19,5,2.17,4.89,1.89,4.62,1.8,5.63,1.6,4.29,2.13,2.92,1.71,5,2.24,2.5,1.67
____,shlem,helmet,Clothes,concrete,4,m,1.2,4,2.52,2.07,1.71,1.69,1.17,1.07,0.26,4.57,2.43,6.52,1.25,4.48,2.13,3.81,1.73,5.44,2.42,2.71,1.54
________,shlepanets,flip flop,Clothes,concrete,8,m,0.6,3.69,2.25,2.63,1.87,1.62,1.05,1.66,1.45,4.88,2.13,6.3,1.62,3.66,2.11,2.03,1.57,5.07,2.02,3.1,1.75
______,shlyupka,ship's boat,Transport,concrete,6,f,0.8,3.83,2.14,2.48,1.96,1.59,0.98,1.03,0.19,3.21,2.37,6.11,1.83,5.17,1.56,2.09,1.4,7.48,3.11,2.32,1.25
_____,shlyapa,hat,Clothes,concrete,5,f,1.5,4.1,2.38,1.41,0.98,2.07,1.58,1.52,1,4.38,2.23,6.59,0.91,5.8,1.67,4.3,1.72,4.23,1.48,3.24,1.77
_____,shmel,bumblebee,Animal,concrete,5,m,0.7,4.69,1.95,5,1.93,1.83,1.49,1.31,0.66,3.41,2.46,6.56,0.85,2.72,2.27,4.22,1.83,4.41,1.89,3.07,1.33
______,shnurok,shoelace,Clothes,concrete,6,m,0.9,3.79,2.21,1.55,1.18,1.48,0.83,1.52,1.25,4.31,1.87,6.48,1.24,6.31,1.04,2.12,1.32,4.4,1.22,3.38,1.42
_____,shosse,highway,Ground,concrete,5,n,1.6,4.31,2.24,5.24,2.03,2.31,1.77,1.34,1.17,2.31,2.12,6.44,1.28,2.31,1.65,2.22,1.36,6.33,2.75,3.36,1.64
_____,shpala,sleeper,Ground,concrete,5,f,0.7,4.38,2.32,2,1.63,3.24,2.42,1.36,0.85,3.36,2.26,6.07,1.27,4.06,2.19,1.53,0.66,6.97,3.31,2.83,2.02
_______,shpatel,palette-knife,Tool_power_grip,concrete,7,m,0.2,3.73,2.45,2.47,1.93,2.1,1.59,1.79,1.5,3.79,1.97,5.15,2.03,5.97,1.79,3.08,1.46,8.28,2.86,2.11,1.37
_________,shpingalet,catch,Tool_precise_grip,concrete,9,m,0.3,4.19,2.12,3.5,1.67,1.27,0.69,1.41,0.84,3.42,2.44,5.83,1.58,6.1,1.6,3.15,1.28,7.82,3.58,2.58,1.94
_____,shprits,syringe,Tool_precise_grip,concrete,5,m,0.9,3.72,2.19,1.55,1.12,2.24,1.84,1.52,0.97,4.31,2.38,6.59,1.09,5.43,1.72,2.59,1.72,5.53,2.18,2.48,1.38
_____,shtil,calm,Space,concrete,5,m,0.5,2.76,2.12,3.69,2.52,2.1,1.68,1.17,0.76,3.34,2.39,5.15,1.88,1.93,1.77,3.97,2.12,8.88,3.17,2.29,1.27
______,shtopor,corkscrew,Tool_power_grip,concrete,6,m,0.5,4.84,2.42,2.89,1.79,2.21,2.11,2.68,2.01,4.79,2.25,6.64,0.87,6.23,1.61,2.65,1.3,8,2.44,3.6,2.03
___,shum,noise,Sound,concrete,3,m,1.8,2,1.69,6.17,1.47,1.66,1.45,1.21,0.74,1.62,1.37,3.97,2.13,2.4,1.81,4.33,1.95,4.67,1.83,4.97,1.74
_____,shurup,screw,Tool_precise_grip,concrete,5,m,0.5,4.23,2.31,1.79,1.69,1.62,1.17,1.18,0.77,4.33,2.06,6.52,0.87,5.86,1.77,3,1.44,6.12,2.6,3.33,1.88
_____,shhuna,schooner,Transport,concrete,5,f,0.4,3.4,2.33,2.83,2,1.41,0.84,1.36,1.03,2.57,1.77,3.85,2.38,4.8,2.07,3.28,2.05,9.7,3.01,1.52,0.94
_______,schekolda,latch,Tool_precise_grip,concrete,7,f,0.4,3.28,2.05,3.5,1.94,1.45,1.02,1.41,0.78,4.92,2.04,5.53,1.96,5.9,1.49,2.56,1.39,7.17,3.56,2.8,1.63
_____,schetka,brush,Tool_precise_grip,concrete,5,f,1,4.84,2.34,2.57,2.13,1.76,1.06,2.18,1.68,4.46,2.38,6.61,0.79,6.1,1.56,2.59,1.4,4.2,1.97,4.93,2.13
_____,schiptsyi,tongs,Tool_power_grip,concrete,5,plur_tant,0.4,3.9,2.04,2.14,1.55,1.55,1.27,1.1,0.31,5.24,2.17,6.07,1.49,5.9,1.93,2.35,1.38,6.07,3.12,3.25,1.62
_______,eyforiya,euphoria,Sense_Emotion,abstract,7,f,0.7,2.2,1.56,3.52,2.31,2.63,2.08,2.47,2.16,1.66,1.37,4.07,2,1.97,1.78,5.59,1.5,11.78,3.09,2.9,1.7
__________,elektrichka,electric train,Transport,concrete,10,f,1.2,4.52,2.18,5.48,1.57,2.38,1.68,1.45,1.33,3.03,2.49,6.52,0.89,4.62,2.29,2.78,1.41,6.15,2.46,3.46,2.13
______,emotsiya,emotion,Sense_Emotion,abstract,6,f,1.5,3.91,2.56,3.96,1.9,2.69,2.09,2.64,1.94,2.39,2.35,4.07,1.66,3.03,2.06,4.76,1.39,7.23,2.97,5.7,1.8
______,yabloko,apple,Food,concrete,6,n,1.7,5.58,1.8,2.36,1.93,4.87,1.85,6.04,1.53,5,2,6.93,0.37,5.33,1.9,3.91,1.42,3.03,1.63,6.04,1.73
___,yama,pit,Ground,concrete,3,f,1.5,4.97,2.23,1.82,1.52,2.43,1.57,1.59,1.42,3,1.79,6.62,0.86,4.17,2.12,1.52,0.91,3.97,1.71,4.15,1.97
_______,yarkost,brightness,Sense_Phys,abstract,7,f,0.8,5.03,2.36,1.64,1.57,1.4,1.33,2.85,2.27,1.35,0.85,4.15,1.9,1.87,1.66,5.33,1.88,5.37,1.71,5.62,1.5
______,yastreb,hawk,Animal,concrete,6,m,0.7,5.66,1.84,4.71,1.86,1.83,1.26,1.5,0.96,2.75,2.34,6.43,1,2.1,1.74,5.71,1.68,5.97,2.47,2.73,1.98
____,yahta,yacht,Transport,concrete,4,f,1,4.97,2.18,2.79,2.02,1.57,1.55,1.22,0.58,2.69,1.98,6.59,0.87,5,1.82,3.12,1.29,7.37,2.82,2.54,1.68
_______,yascheritsa,lizard,Animal,concrete,7,f,0.7,4.65,2.39,2.07,1.63,1.63,1.1,1.44,0.85,3.62,1.72,6.62,0.78,2.87,2.03,2.34,1.26,5,1.88,2.62,1.68
