WORD,Transliteration,English_Translation,Category,Abstractness,Length,Gender,Fr_obj_Lg,Vis_Mean,Vis_SD,Aud_Mean,Aud_SD,Olf_Mean,Olf_SD,Gus_Mean,Gus_SD,Hap_Mean,Hap_SD,Img_Mean,Img_SD,Man_Mean,Man_SD,Space17_Mean,Space17_SD,AoA_Mean,AoA_SD,Fr_Mean,Fr_SD
____________,prostranstvo,space,Space,concrete,12,n,2.2,3.53,2.33,2.32,2.04,1.65,1.35,1.04,0.19,3.04,2.17,3.97,2.15,2.46,2.06,5.22,2.18,8.04,3.7,4.7,1.6
____,prud,pond,Ground,concrete,4,m,1.4,3.76,2.29,3.23,2.42,2.48,2.01,2.03,1.5,3.08,2.22,6.5,0.94,2.2,1.49,2.33,1.59,5.37,2.88,2.93,1.44
______,pryizhok,jump,Action,abstract,6,m,1.3,3.34,1.99,2.7,2.07,1.24,0.83,1.34,0.77,2.58,2.15,5.03,1.5,3.03,2.16,3.97,1.7,3.9,2.64,4.43,1.89
_____,ptitsa,bird,Animal,concrete,5,f,2,5.22,2.12,4.74,1.93,3.07,1.6,2.86,1.91,3.46,2.22,6.79,0.42,2.32,1.96,6.12,1.63,3.07,1.6,5.13,1.61
________,pugovitsa,button,Clothes,concrete,8,f,1.3,4.5,2.36,1.57,1.23,1.41,1.24,1.71,1.1,4.21,2.3,6.79,0.5,6.35,1.25,3.29,1.38,3.87,1.8,4.43,1.76
____,pulya,bullet,Tool_precise_grip,concrete,4,f,1.7,4.45,2.23,4.45,2.21,1.93,1.51,1.28,1,4.55,2.69,6.52,1.6,3.28,2.05,4.16,1.74,5.11,2.58,3.39,1.5
_____,pyatka,heel,Body_Part,concrete,5,f,1.1,3.72,2.39,1.38,1.05,2.97,2.34,1.45,0.97,4,2.33,6.41,1.38,2.73,2,2.09,1.59,3.53,1.41,3.45,1.62
__________,ravnodushie,indifference,Sense_Emotion,abstract,10,n,1.1,2.55,1.67,2.07,2.12,1.3,0.84,1.85,1.41,2.08,1.9,3.29,1.58,1.4,0.81,3.75,1.63,8.63,2.7,4.73,1.78
_______,radost,joy,Sense_Emotion,abstract,7,f,2.1,2.48,1.9,4.21,2.23,1.9,1.5,2.28,2.14,2.34,2.09,4.08,1.89,2.21,1.7,5.31,1.84,3.67,1.9,5.57,1.55
______,raduga,rainbow,Space,concrete,6,f,1,5.83,1.8,1.86,1.94,2.19,1.58,1.64,1.62,1.74,1.77,6.69,0.89,2.51,2.55,6.13,1.39,3.65,2,3.67,1.77
_____________,razocharovanie,disappointment,Sense_Emotion,abstract,13,n,1.2,2.4,1.73,2.19,1.49,1.4,0.77,2.03,1.88,1.45,1.21,4.28,1.71,2.19,2.02,3.81,1.96,8.96,3.23,4.14,1.64
______,raketa,rocket,Transport,concrete,6,f,1.8,3.97,2.16,5,1.77,2.76,1.81,1.52,1.23,2.72,2.05,6.59,1.21,5.33,2.17,5.91,1.63,4.9,1.84,2.86,1.81
_______,ranenie,wound,Sense_Phys,abstract,7,n,1.2,4.2,2.14,3.23,1.98,1.97,1.32,1.96,1.75,4.97,2.16,5.11,1.72,5.13,1.64,3.16,2.13,6.37,2.55,3.78,1.87
_______,rassvet,dawn,Space,concrete,7,m,1.4,5.63,1.79,2,1.69,2.47,1.94,1.47,0.97,1.62,1.4,6.07,1.67,1.35,1.25,5.66,1.72,5.93,2.62,3.79,1.72
________,rascheska,comb,Tool_power_grip,concrete,8,f,0.6,4.38,2.31,2.1,1.32,2.38,1.76,1.42,0.87,5.17,1.69,6.83,0.54,6.4,1.16,2.97,1.69,3.8,1.21,4.79,1.97
__________,rasshirenie,widening,Action,abstract,10,n,1.6,3.76,2.32,1.59,1.09,1.34,0.86,1.14,0.58,2.17,1.87,3.12,1.77,2.76,2.26,4.16,1.92,9.74,2.98,3.79,1.97
________,revnost,jealousy,Sense_Emotion,abstract,8,f,1.2,2.1,1.58,3.21,1.97,1.65,1.16,1.25,0.93,1.7,1.38,3.61,1.4,2.08,1.71,3.47,1.76,8.88,3.73,4.03,2.19
_____,rezets,cutter,Tool_power_grip,concrete,5,m,0.6,3.21,1.91,2.7,2,1.28,0.75,2,1.67,3.58,2.3,4.1,2.26,5.14,2.42,2.64,1.43,8.43,3.86,2.83,1.9
____,rech,speech,Sound,concrete,4,f,2.4,2.21,1.42,5.76,1.64,1.31,0.76,1.52,1.3,1.55,0.95,3.5,1.73,2,1.51,4.82,1.74,5.23,1.92,5.59,1.76
_______,rozetka,socket,Object,concrete,7,f,0.8,4.17,2.25,1.73,1.57,1.66,1.11,1.61,1.59,4.66,1.8,6.67,0.62,6.16,1.19,2.84,1.3,4.23,1.76,5.89,1.17
_______,rubanok,plane,Tool_power_grip,concrete,7,m,0.3,4,2.27,2.96,2.03,2.27,1.41,1.33,1.21,3.45,2.21,5.41,1.92,6.19,1.83,2.84,1.16,9.04,2.9,2,1.25
_______,ruletka,tape-measure,Tool_precise_grip,concrete,7,f,0.7,4.91,2.4,3.38,1.96,1.25,0.52,1.32,0.95,3.79,2.54,5.86,1.53,6.1,1.22,2.44,1.21,6.67,2.58,2.8,1.77
_____,ruchka,pen,Tool_precise_grip,concrete,5,f,1.8,4.47,2.16,1.89,1.42,2.6,1.99,2.13,1.72,5.66,1.88,6.62,0.9,6.77,0.5,3.03,1.09,3.63,1.52,6.34,1.01
_____,ryumka,small liqueur glass,Tool_precise_grip,concrete,5,f,1.5,3.93,2.23,3.53,2.13,2.79,2.26,3.62,2.18,4.5,2.36,6.63,0.89,6,1.41,2.7,1.59,6.57,3.09,3.23,1.96
______,ryabina,rowan,Food,concrete,6,f,0.8,4.72,2.17,1.7,1.37,4.72,2.23,4.69,2.21,3.67,2.22,6.57,0.9,3.1,2.25,3.48,1.54,4.63,1.61,3.27,1.53
_______,samokat,scooter,Transport,concrete,7,m,0.3,4.17,2.28,2.57,1.89,1.62,1.32,1.62,1.59,4.42,2.52,6.67,0.88,6.23,1.19,2.03,1.19,5.6,2.87,2.6,1.38
_______,samolet,airplane,Transport,concrete,7,m,2.2,5.22,2,5.75,1.65,2.45,1.86,1.86,1.64,3.46,2.5,6.89,0.31,5.71,1.79,6.21,1.43,4.5,2.08,4.67,1.77
